Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Internet Use
Montenegro,5.191999912261963,83,2015,9.563103675842285,0.7670287489891052,64.92379760742188,0.48953378200531006,-0.09124898910522461,0.7394537329673767,68.11978601
China,5.139999866485596,84,2015,9.30475902557373,0.7842896580696106,68.22540283203125,0.80674809217453,-0.19227322936058044,0.9216616749763489,50.3
Romania,5.124000072479248,86,2015,9.77485179901123,0.7587717175483704,66.50250244140625,0.648988664150238,-0.12162765860557556,0.9554072022438049,55.76315563
Serbia,5.123000144958496,87,2015,9.398003578186035,0.8106586933135986,65.76023864746094,0.5070574283599854,-0.051987793296575546,0.9242587089538574,65.3170254
Portugal,5.1020002365112305,88,2015,10.131914138793945,0.8650356531143188,70.34319305419922,0.8045826554298401,-0.1219889298081398,0.9486168026924133,68.63286148
Latvia,5.0980000495910645,89,2015,9.988462448120117,0.846701979637146,64.89342498779297,0.5977930426597595,-0.06474869698286057,0.8654694557189941,79.20058292
Morocco,5.013000011444092,92,2015,8.828556060791016,0.6560918092727661,60.7440071105957,0.711826741695404,-0.20514839887619019,0.8304415345191956,57.07999935
Mozambique,4.9710001945495605,94,2015,6.830506801605225,0.817624568939209,42.017967224121094,0.6392068266868591,-0.013400467112660408,0.7187589406967163,6.5
Albania,4.959000110626221,95,2015,9.269684791564941,0.724589467048645,68.10516357421875,0.6552953720092773,-0.11496319621801376,0.8641952276229858,56.9
Bosnia and Herzegovina,4.948999881744385,96,2015,9.127297401428223,0.7727230787277222,67.29405975341797,0.404013067483902,0.018851038068532944,0.9620863795280457,52.6
Lesotho,4.8979997634887695,97,2015,7.726869583129883,0.8238167762756348,41.468990325927734,0.6176775693893433,-0.08809147775173187,0.7678068280220032,25.0
Dominican Republic,4.885000228881836,98,2015,9.320871353149414,0.8787304759025574,62.865509033203125,0.8634316921234131,-0.020835144445300102,0.7404199242591858,54.21576634
Mongolia,4.874000072479248,100,2015,9.11489200592041,0.9326325058937073,60.496334075927734,0.7301796674728394,0.12581296265125275,0.9234890341758728,22.50000413
Greece,4.85699987411499,102,2015,10.113980293273926,0.7769899964332581,70.59382629394531,0.3893435001373291,-0.29623451828956604,0.9435703754425049,66.83495949
Lebanon,4.839000225067139,103,2015,9.72026252746582,0.7227749228477478,69.05265045166016,0.6380606889724731,-0.018669959157705307,0.8931606411933899,74.0
Hungary,4.800000190734863,104,2015,10.012450218200684,0.8913596272468567,66.14646911621094,0.6209511756896973,-0.13366374373435974,0.9220321774482727,72.83473703
Honduras,4.788000106811523,105,2015,8.400954246520996,0.7871145606040955,63.835777282714844,0.6971873044967651,-0.0037693323101848364,0.8576745390892029,27.1
Tajikistan,4.785999774932861,106,2015,7.772919654846191,0.7460905909538269,59.45213317871094,0.7642370462417603,-0.004448545165359974,0.7271634936332703,18.98
Tunisia,4.738999843597412,107,2015,9.277225494384766,0.6407227516174316,65.38324737548828,0.5655083656311035,-0.2145528793334961,0.8650643825531006,46.49999434
