,Population density (people per sq. km of land area),Country,Year,Score
168,3.742021774,Botswana,2015,4.332
174,24.46378728,Brazil,2015,6.983
175,24.66614055,Brazil,2016,6.952
176,24.86603778,Brazil,2017,6.635
177,25.06171469,Brazil,2018,6.419
178,25.25077577,Brazil,2019,6.3
179,25.43142481,Brazil,2020,6.375599861
192,66.120035,Bulgaria,2015,4.218
193,65.65790346,Bulgaria,2016,4.217
194,65.18005711,Bulgaria,2017,4.714
195,64.71109985,Bulgaria,2018,4.933
196,64.25719418,Bulgaria,2019,5.011
197,63.81068534,Bulgaria,2020,5.101500034
200,70.15071637,Burkina Faso,2017,4.032
201,72.1910307,Burkina Faso,2018,4.424
202,74.27406067,Burkina Faso,2019,4.587
203,76.40086988,Burkina Faso,2020,4.768700123
218,90.69461251,Cambodia,2017,4.168
219,92.05639588,Cambodia,2018,4.433
220,93.39758668,Cambodia,2019,4.7
221,94.71431566,Cambodia,2020,4.848400116
222,49.28682702,Cameroon,2015,4.252
223,50.61570307,Cameroon,2016,4.513
224,51.96858539,Cameroon,2017,4.695
225,53.34403969,Cameroon,2018,4.975
226,54.7405111,Cameroon,2019,5.044
227,56.15676419,Cameroon,2020,5.084899902
228,3.982215114,Canada,2015,7.427
229,4.027563942,Canada,2016,7.404
230,4.076172901,Canada,2017,7.316
231,4.13415938,Canada,2018,7.328
232,4.193074187,Canada,2019,7.278
233,4.239011376,Canada,2020,7.23210001
261,12.29171458,Chad,2018,4.301
262,12.66429638,Chad,2019,4.35
263,13.04467837,Chad,2020,4.422699928
270,24.16756239,Chile,2015,6.67
271,24.48996412,Chile,2016,6.705
272,24.84147959,Chile,2017,6.652
273,25.18945519,Chile,2018,6.476
274,25.48919885,Chile,2019,6.444
275,25.71000172,Chile,2020,6.228499889
276,145.4921426,China,2015,5.14
277,146.282102,China,2016,5.245
278,147.1022825,China,2017,5.273
279,147.7744195,China,2018,5.246
280,148.3033486,China,2019,5.191
281,148.7698885,China,2020,5.123899937
282,42.83070482,Colombia,2015,6.477
283,43.42050293,Colombia,2016,6.481
284,44.08277963,Colombia,2017,6.357
285,44.75985219,Colombia,2018,6.26
286,45.37128707,Colombia,2019,6.125
287,45.86109419,Colombia,2020,6.163400173
293,467.2729715,Comoros,2020,4.288599968
306,94.943302,Costa Rica,2015,7.226
307,95.95252644,Costa Rica,2016,7.087
308,96.94388954,Costa Rica,2017,7.079
309,97.91310223,Costa Rica,2018,7.072
310,98.85548374,Costa Rica,2019,7.167
311,99.76721504,Costa Rica,2020,7.121399879
318,74.28174589,Croatia,2015,5.759
319,73.76478176,Croatia,2016,5.488
320,72.88444955,Croatia,2017,5.293
321,72.23613713,Croatia,2018,5.321
322,71.83694999,Croatia,2019,5.432
323,71.51793603,Croatia,2020,5.504700184
336,125.6479437,Cyprus,2015,5.689
337,126.6438312,Cyprus,2016,5.546
338,127.6715368,Cyprus,2017,5.621
339,128.7080087,Cyprus,2018,5.762
340,129.7158009,Cyprus,2019,6.046
341,130.6667749,Cyprus,2020,6.15899992
342,136.589289,Czech Republic,2015,6.505
343,136.8341362,Czech Republic,2016,6.596
344,137.2158788,Czech Republic,2017,6.609
345,137.6933679,Czech Republic,2018,6.711
346,138.236658,Czech Republic,2019,6.852
347,138.5867358,Czech Republic,2020,6.910900116
348,142.087075,Denmark,2015,7.527
349,143.20025,Denmark,2016,7.526
350,144.1245,Denmark,2017,7.522
351,144.8409,Denmark,2018,7.555
352,145.36055,Denmark,2019,7.6
353,145.7851,Denmark,2020,7.645599842
354,39.43045729,Djibouti,2015,4.369
366,212.8270544,Dominican Republic,2015,4.885
367,215.2295177,Dominican Republic,2016,5.155
368,217.6176982,Dominican Republic,2017,5.23
369,219.9782033,Dominican Republic,2018,5.302
370,222.2926309,Dominican Republic,2019,5.425
371,224.5477955,Dominican Republic,2020,5.689199924
396,65.27630053,Ecuador,2015,5.975
397,66.40004832,Ecuador,2016,5.976
398,67.58478016,Ecuador,2017,6.008
399,68.78868981,Ecuador,2018,5.973
400,69.95352311,Ecuador,2019,6.028
401,71.03825093,Ecuador,2020,5.925199986
408,305.2664575,El Salvador,2015,6.13
409,306.7633687,El Salvador,2016,6.068
410,308.3071429,El Salvador,2017,6.003
411,309.8812741,El Salvador,2018,6.167
412,311.4647683,El Salvador,2019,6.253
413,313.0405888,El Salvador,2020,6.34829998
426,30.26011042,Estonia,2015,5.429
427,30.2689211,Estonia,2016,5.517
428,30.30559006,Estonia,2017,5.611
429,30.41124914,Estonia,2018,5.739
430,30.52445365,Estonia,2019,5.893
431,30.62012882,Estonia,2020,6.021800041
438,89.29236835,Ethiopia,2015,4.512
439,91.74098154,Ethiopia,2016,4.508
440,94.21926014,Ethiopia,2017,4.46
441,96.71865074,Ethiopia,2018,4.35
442,99.24615983,Ethiopia,2019,4.286
443,101.8007113,Ethiopia,2020,4.186200142
486,18.03011089,Finland,2015,7.406
487,18.08200783,Finland,2016,7.413
488,18.12389445,Finland,2017,7.469
489,18.14795012,Finland,2018,7.632
490,18.16795867,Finland,2019,7.769
491,18.19794354,Finland,2020,7.808700085
498,121.5367021,France,2015,6.575
499,121.857823,France,2016,6.478
500,122.2119706,France,2017,6.442
501,122.5478443,France,2018,6.489
502,122.8163022,France,2019,6.592
503,123.076834,France,2020,6.663799763
511,7.792455466,Gabon,2016,4.121
512,8.013396981,Gabon,2017,4.465
513,8.224764233,Gabon,2018,4.758
514,8.431629604,Gabon,2019,4.799
515,8.637901191,Gabon,2020,4.829299927
522,65.17505861,Georgia,2015,4.297
523,65.21405578,Georgia,2016,4.252
524,65.22278596,Georgia,2017,4.286
525,65.19733021,Georgia,2018,4.34
526,65.08556982,Georgia,2019,4.519
527,64.97778089,Georgia,2020,4.672599792
528,234.1529869,Germany,2015,6.75
529,235.7129294,Germany,2016,6.994
530,236.5887226,Germany,2017,6.951
531,237.2940123,Germany,2018,6.965
532,237.8297613,Germany,2019,6.985
533,238.252118,Germany,2020,7.075799942
534,122.3925595,Ghana,2015,4.633
535,125.1733629,Ghana,2016,4.276
536,127.9839325,Ghana,2017,4.12
537,130.8214292,Ghana,2018,4.657
538,133.6813659,Ghana,2019,4.996
539,136.560363,Ghana,2020,5.147999763
546,83.94788984,Greece,2015,4.857
547,83.5994647,Greece,2016,5.033
548,83.43428239,Greece,2017,5.227
549,83.26518231,Greece,2018,5.358
550,83.17751746,Greece,2019,5.287
551,83.13071373,Greece,2020,5.514999866
570,145.272667,Guatemala,2015,6.123
571,147.7014744,Guatemala,2016,6.324
572,150.1252146,Guatemala,2017,6.454
573,152.5471258,Guatemala,2018,6.382
574,154.946118,Guatemala,2019,6.436
575,157.3192703,Guatemala,2020,6.398900032
580,51.97479245,Guinea,2019,4.534
581,53.44616637,Guinea,2020,4.949299812
594,388.0820029,Haiti,2015,4.518
595,393.3227866,Haiti,2016,4.028
612,81.44520511,Honduras,2015,4.788
613,82.85632317,Honduras,2016,4.871
614,84.27040844,Honduras,2017,5.181
615,85.68704084,Honduras,2018,5.504
616,87.10443293,Honduras,2019,5.86
617,88.52094021,Honduras,2020,5.953199863
621,7096.190476,"Hong Kong SAR, China",2018,5.43
624,107.8569801,Hungary,2015,4.8
625,107.5391519,Hungary,2016,5.145
626,107.253627,Hungary,2017,5.324
627,107.1177296,Hungary,2018,5.62
628,107.0692636,Hungary,2019,5.758
629,106.8350099,Hungary,2020,6.000400066
660,3.299900249,Iceland,2015,7.561
661,3.346024938,Iceland,2016,7.501
662,3.425436409,Iceland,2017,7.504
663,3.498175146,Iceland,2018,7.495
664,3.575949618,Iceland,2019,7.494
665,3.634087077,Iceland,2020,7.504499912
666,440.6554549,India,2015,4.565
667,445.4869181,India,2016,4.404
668,450.2493211,India,2017,4.315
669,454.9464659,India,2018,4.19
670,459.5796959,India,2019,4.015
672,142.6294634,Indonesia,2015,5.399
673,139.3095814,Indonesia,2016,5.314
674,140.9578113,Indonesia,2017,5.262
675,142.5660933,Indonesia,2018,5.093
676,144.1399885,Indonesia,2019,5.192
677,145.6835435,Indonesia,2020,5.285600185
684,81.93958694,Iraq,2015,4.677
685,84.33142299,Iraq,2016,4.575
686,86.50165159,Iraq,2017,4.497
687,88.53058084,Iraq,2018,4.456
688,90.54884504,Iraq,2019,4.437
689,92.65125263,Iraq,2020,4.784800053
690,68.25311366,Ireland,2015,6.94
691,69.0279431,Ireland,2016,6.907
692,69.78353898,Ireland,2017,6.977
693,70.65344753,Ireland,2018,6.977
694,71.62636087,Ireland,2019,7.021
695,72.50288866,Ireland,2020,7.093699932
702,387.2504621,Israel,2015,7.278
703,394.9168207,Israel,2016,7.267
704,402.6478743,Israel,2017,7.213
705,410.4805915,Israel,2018,7.19
706,418.3918669,Israel,2019,7.139
707,425.9195933,Israel,2020,7.128600121
708,206.4682872,Italy,2015,5.948
709,206.1178282,Italy,2016,5.977
710,205.8091691,Italy,2017,5.964
711,202.941457,Italy,2018,6.0
712,200.6149229,Italy,2019,6.223
713,200.0269472,Italy,2020,6.38740015
714,266.945891,Jamaica,2015,5.709
715,268.3510619,Jamaica,2016,5.51
716,269.699723,Jamaica,2017,5.311
717,270.9928901,Jamaica,2018,5.89
718,272.23241,Jamaica,2019,5.89
719,273.4220683,Jamaica,2020,5.889800072
720,348.8093278,Japan,2015,5.987
721,348.4074376,Japan,2016,5.921
722,347.834834,Japan,2017,5.92
723,347.1305898,Japan,2018,5.915
724,346.4058464,Japan,2019,5.886
725,345.2291385,Japan,2020,5.870800018
726,104.3768078,Jordan,2015,5.192
727,107.617549,Jordan,2016,5.303
728,110.2257265,Jordan,2017,5.336
729,112.2473755,Jordan,2018,5.161
730,113.783476,Jordan,2019,4.906
731,114.9261095,Jordan,2020,4.633399963
732,6.498057562,Kazakhstan,2015,5.855
733,6.591123088,Kazakhstan,2016,5.919
734,6.681400156,Kazakhstan,2017,5.819
735,6.769808497,Kazakhstan,2018,5.79
736,6.85767789,Kazakhstan,2019,5.809
737,6.946860762,Kazakhstan,2020,6.057899952
738,84.12400991,Kenya,2015,4.419
739,86.18535158,Kenya,2016,4.356
740,88.24040834,Kenya,2017,4.553
741,90.29864357,Kenya,2018,4.41
742,92.37440173,Kenya,2019,4.509
743,94.47816003,Kenya,2020,4.583000183
762,164.2505741,Kosovo,2015,5.589
763,163.2733535,Kosovo,2016,5.401
764,164.5084045,Kosovo,2017,5.279
768,215.2406285,Kuwait,2015,6.295
769,222.0461279,Kuwait,2016,6.239
770,227.6151515,Kuwait,2017,6.105
771,232.1725028,Kuwait,2018,6.083
772,236.0873737,Kuwait,2019,6.021
773,239.65,Kuwait,2020,6.102099895
810,31.82885884,Latvia,2015,5.098
811,31.54438184,Latvia,2016,5.56
812,31.27109966,Latvia,2017,5.85
813,31.03839588,Latvia,2018,5.933
814,30.8233532,Latvia,2019,5.94
815,30.62567241,Latvia,2020,5.949999809
822,638.5807429,Lebanon,2015,4.839
823,656.3324536,Lebanon,2016,5.129
824,666.6053763,Lebanon,2017,5.225
825,670.5188661,Lebanon,2018,5.199
826,670.1572825,Lebanon,2019,5.197
827,667.1986315,Lebanon,2020,4.771500111
828,67.81986166,Lesotho,2015,4.898
834,46.43094892,Liberia,2015,4.571
839,52.50910507,Liberia,2020,4.557899952
840,3.647723269,Libya,2015,5.754
841,3.689691624,Libya,2016,5.615
842,3.740024666,Libya,2017,5.525
843,3.795631245,Libya,2018,5.566
844,3.851832297,Libya,2019,5.525
845,3.905161008,Libya,2020,5.488800049
852,46.36727853,Lithuania,2015,5.833
853,45.78766642,Lithuania,2016,5.813
854,45.15258377,Lithuania,2017,5.902
855,44.73164618,Lithuania,2018,5.952
856,44.61339614,Lithuania,2019,6.149
857,44.62238544,Lithuania,2020,6.215499878
876,234.4049383,Luxembourg,2015,6.946
877,239.5119342,Luxembourg,2016,6.871
878,245.4057613,Luxembourg,2017,6.863
879,250.1851852,Luxembourg,2018,6.91
880,255.1444444,Luxembourg,2019,7.09
881,260.1954733,Luxembourg,2020,7.237500191
893,47.59542626,Madagascar,2020,4.165599823
894,177.6124841,Malawi,2015,4.292
895,182.4910161,Malawi,2016,4.156
900,92.13503272,Malaysia,2015,5.77
901,93.39416223,Malaysia,2016,6.005
902,94.6725156,Malaysia,2017,6.084
903,95.96114138,Malaysia,2018,6.322
904,97.24483032,Malaysia,2019,5.339
905,98.51163598,Malaysia,2020,5.384300232
911,1801.806667,Maldives,2020,5.197599888
913,14.72348405,Mali,2016,4.073
914,15.17175932,Mali,2017,4.19
915,15.63506913,Mali,2018,4.447
916,16.11062457,Mali,2019,4.39
917,16.59645957,Mali,2020,4.729300022
918,1390.790625,Malta,2015,6.302
919,1422.9875,Malta,2016,6.488
920,1462.496875,Malta,2017,6.527
921,1514.46875,Malta,2018,6.627
922,1575.19375,Malta,2019,6.726
923,1641.515625,Malta,2020,6.772799969
930,3.925782478,Mauritania,2015,4.436
931,4.039518774,Mauritania,2016,4.201
932,4.1550228,Mauritania,2017,4.292
933,4.272156787,Mauritania,2018,4.356
934,4.390897448,Mauritania,2019,4.49
935,4.511167168,Mauritania,2020,4.374599934
936,621.9729064,Mauritius,2015,5.477
937,622.4004926,Mauritius,2016,5.648
938,622.962069,Mauritius,2017,5.629
939,623.3019704,Mauritius,2018,5.891
940,623.5029557,Mauritius,2019,5.888
941,623.5172414,Mauritius,2020,6.101299763
942,62.68589779,Mexico,2015,7.187
943,63.444728,Mexico,2016,6.778
944,64.1875182,Mexico,2017,6.578
945,64.91462332,Mexico,2018,6.488
946,65.62696006,Mexico,2019,6.595
947,66.32513851,Mexico,2020,6.465000153
978,98.70564474,Moldova,2015,5.889
979,97.57878608,Moldova,2016,5.897
980,95.90830926,Moldova,2017,5.838
981,94.2895938,Moldova,2018,5.64
982,92.7241551,Moldova,2019,5.529
983,91.14242244,Moldova,2020,5.607500076
990,1.925460011,Mongolia,2015,4.874
991,1.962656864,Mongolia,2016,4.907
992,1.99953585,Mongolia,2017,4.955
993,2.035770635,Mongolia,2018,5.125
994,2.071058369,Mongolia,2019,5.285
995,2.105173526,Mongolia,2020,5.456200123
996,46.25717472,Montenegro,2015,5.192
997,46.26788104,Montenegro,2016,5.161
998,46.2730855,Montenegro,2017,5.237
999,46.26223048,Montenegro,2018,5.347
1000,46.24743494,Montenegro,2019,5.523
1001,46.22438662,Montenegro,2020,5.54610014
1002,77.66885055,Morocco,2015,5.013
1003,78.70552095,Morocco,2016,5.151
1004,79.72497647,Morocco,2017,5.235
1005,80.72840914,Morocco,2018,5.254
1006,81.72029128,Morocco,2019,5.208
1007,82.70346852,Morocco,2020,5.094799995
1008,34.3879562,Mozambique,2015,4.971
1010,36.43150512,Mozambique,2017,4.55
1011,37.50859508,Mozambique,2018,4.417
1012,38.61497368,Mozambique,2019,4.466
1013,39.74596887,Mozambique,2020,4.623600006
1014,80.66503951,Myanmar,2015,4.307
1015,81.2231258,Myanmar,2016,4.395
1016,81.77594785,Myanmar,2017,4.545
1017,82.27503179,Myanmar,2018,4.308
1018,82.79143676,Myanmar,2019,4.36
1019,83.3496132,Myanmar,2020,4.308000088
1021,2.864171799,Namibia,2016,4.574
1022,2.918319183,Namibia,2017,4.574
1023,2.97380024,Namibia,2018,4.441
1024,3.029945706,Namibia,2019,4.639
1025,3.08629523,Namibia,2020,4.571100235
1032,188.455061,Nepal,2015,4.514
1033,190.1878619,Nepal,2016,4.793
1034,192.7637391,Nepal,2017,4.962
1035,195.9938054,Nepal,2018,4.88
1036,199.5724799,Nepal,2019,4.913
1037,203.2564213,Nepal,2020,5.137199879
1038,503.1162162,Netherlands,2015,7.378
1039,505.8008316,Netherlands,2016,7.339
1040,508.8,Netherlands,2017,7.377
1041,511.7797446,Netherlands,2018,7.441
1042,515.1432729,Netherlands,2019,7.488
1043,518.0023463,Netherlands,2020,7.448900223
1050,17.50560176,New Zealand,2015,7.286
1051,17.90323193,New Zealand,2016,7.334
1052,18.28111352,New Zealand,2017,7.314
1053,18.61152254,New Zealand,2018,7.324
1054,18.91040978,New Zealand,2019,7.307
1055,19.30917929,New Zealand,2020,7.299600124
1056,51.71376101,Nicaragua,2015,5.828
1057,52.38466013,Nicaragua,2016,5.992
1058,53.05669769,Nicaragua,2017,6.071
1059,53.72695696,Nicaragua,2018,6.141
1060,54.39174838,Nicaragua,2019,6.105
1061,55.0486455,Nicaragua,2020,6.13710022
1064,17.05406805,Niger,2017,4.028
1065,17.71755822,Niger,2018,4.166
1066,18.40271493,Niger,2019,4.628
1067,19.10999921,Niger,2020,4.909599781
1068,198.8838609,Nigeria,2015,5.268
1069,204.1791495,Nigeria,2016,4.875
1070,209.5734895,Nigeria,2017,5.074
1071,215.0649286,Nigeria,2018,5.155
1072,220.6524183,Nigeria,2019,5.265
1073,226.335504,Nigeria,2020,4.724100113
1092,14.20793848,Norway,2015,7.522
1093,14.33542438,Norway,2016,7.498
1094,14.45257784,Norway,2017,7.537
1095,14.54889562,Norway,2018,7.594
1096,14.64744184,Norway,2019,7.554
1097,14.7339341,Norway,2020,7.487999916
1110,13.7878546,Oman,2015,6.853
1128,258.7003853,Pakistan,2015,5.194
1129,264.1544157,Pakistan,2016,5.132
1130,269.6998366,Pakistan,2017,5.269
1131,275.3065172,Pakistan,2018,5.472
1132,280.9325926,Pakistan,2019,5.653
1133,286.5456764,Pakistan,2020,5.69329977
1140,53.54141932,Panama,2015,6.786
1141,54.46671614,Panama,2016,6.701
1142,55.40696168,Panama,2017,6.452
1143,56.30947598,Panama,2018,6.43
1144,57.24739475,Panama,2019,6.321
1145,58.16854281,Panama,2020,6.304800034
1152,16.83550466,Paraguay,2015,5.878
1153,17.05984898,Paraguay,2016,5.538
1154,17.28431412,Paraguay,2017,5.493
1155,17.50835389,Paraguay,2018,5.681
1156,17.73128366,Paraguay,2019,5.743
1157,17.9525044,Paraguay,2020,5.692100048
1158,23.80526484,Peru,2015,5.824
1159,24.16096563,Peru,2016,5.743
1160,24.56585859,Peru,2017,5.715
1161,24.99161328,Peru,2018,5.663
1162,25.39879844,Peru,2019,5.697
1163,25.75925469,Peru,2020,5.796800137
1164,342.4663984,Philippines,2015,5.073
1165,347.6668075,Philippines,2016,5.279
1166,352.7280444,Philippines,2017,5.43
1167,357.6865345,Philippines,2018,5.524
1168,362.6006037,Philippines,2019,5.631
1169,367.5121072,Philippines,2020,6.006000042
1170,124.0615696,Poland,2015,5.791
1171,124.008253,Poland,2016,5.835
1172,124.0237304,Poland,2017,5.973
1173,124.0315838,Poland,2018,6.123
1174,124.0012901,Poland,2019,6.182
1175,123.9533658,Poland,2020,6.186299801
1176,113.0725196,Portugal,2015,5.102
1177,112.7163842,Portugal,2016,5.123
1178,112.4418158,Portugal,2017,5.195
1179,112.261936,Portugal,2018,5.41
1180,112.2885828,Portugal,2019,5.693
1181,112.4992795,Portugal,2020,5.910900116
1195,384.0667418,Puerto Rico,2016,7.039
1200,223.2992167,Qatar,2015,6.611
1201,231.0164491,Qatar,2016,6.375
1202,237.1389904,Qatar,2017,6.375
1203,242.0959095,Qatar,2018,6.374
1204,246.4813751,Qatar,2019,6.374
1206,86.12489569,Romania,2015,5.124
1207,85.63224531,Romania,2016,5.528
1208,85.13871262,Romania,2017,5.825
1209,84.63999478,Romania,2018,5.945
1210,84.19527121,Romania,2019,6.07
1211,83.82355268,Romania,2020,6.123700142
1242,14.75453484,Saudi Arabia,2015,6.411
1243,15.09214957,Saudi Arabia,2016,6.379
1244,15.39811926,Saudi Arabia,2017,6.344
1245,15.67796147,Saudi Arabia,2018,6.371
1246,15.94114919,Saudi Arabia,2019,6.375
1247,16.19483135,Saudi Arabia,2020,6.406499863
1249,77.87624786,Senegal,2016,4.219
1250,80.088059,Senegal,2017,4.535
1251,82.34729133,Senegal,2018,4.631
1252,84.64323482,Senegal,2019,4.681
1253,86.96790111,Senegal,2020,4.980800152
1254,81.12717814,Serbia,2015,5.123
1255,80.70343014,Serbia,2016,5.177
1256,80.27507432,Serbia,2017,5.395
1257,79.8376858,Serbia,2018,5.398
1258,79.41041619,Serbia,2019,5.603
1259,78.98723988,Serbia,2020,5.77820015
1266,99.36144361,Sierra Leone,2015,4.507
1267,101.5356886,Sierra Leone,2016,4.635
1268,103.7465641,Sierra Leone,2017,4.709
1269,105.9871017,Sierra Leone,2018,4.571
1270,108.2461485,Sierra Leone,2019,4.374
1272,7806.77292,Singapore,2015,6.798
1273,7908.720733,Singapore,2016,6.739
1274,7915.730606,Singapore,2017,6.572
1275,7952.99859,Singapore,2018,6.343
1276,8044.526093,Singapore,2019,6.262
1277,8019.473907,Singapore,2020,6.377099991
1290,102.4461092,Slovenia,2015,5.848
1291,102.5241783,Slovenia,2016,5.768
1292,102.6108719,Slovenia,2017,5.758
1293,102.9922926,Slovenia,2018,5.948
1294,103.7119346,Slovenia,2019,6.118
1295,104.295008,Slovenia,2020,6.363399982
1309,22.61235534,Somalia,2016,5.44
1310,23.25559505,Somalia,2017,5.151
1311,23.92359008,Somalia,2018,4.982
1312,24.61648548,Somalia,2019,4.668
1314,45.65726286,South Africa,2015,4.642
1315,46.33427775,South Africa,2016,4.459
1316,46.99548343,South Africa,2017,4.829
1317,47.64075213,South Africa,2018,4.724
1318,48.27198889,South Africa,2019,4.722
1319,48.89059344,South Africa,2020,4.814099789
1338,92.95268592,Spain,2015,6.329
1339,93.04926296,Spain,2016,6.361
1340,93.27091015,Spain,2017,6.403
1341,93.66979208,Spain,2018,6.31
1342,94.34185906,Spain,2019,6.354
1343,94.77829717,Spain,2020,6.400899887
1344,338.8105278,Sri Lanka,2015,4.271
1345,342.5750893,Sri Lanka,2016,4.415
1346,346.468906,Sri Lanka,2017,4.44
1347,350.284495,Sri Lanka,2018,4.471
1348,352.4343722,Sri Lanka,2019,4.366
1349,354.309453,Sri Lanka,2020,4.327000141
1392,21.03599785,Sudan,2015,4.55
1393,21.54800278,Sudan,2016,4.139
1394,22.07037546,Sudan,2017,4.139
1395,22.60478579,Sudan,2018,4.139
1398,3.584205128,Suriname,2015,6.269
1399,3.621044872,Suriname,2016,6.269
1404,24.05829958,Sweden,2015,7.364
1405,24.36248803,Sweden,2016,7.291
1406,24.69298078,Sweden,2017,7.284
1407,24.98149812,Sweden,2018,7.314
1408,25.23602907,Sweden,2019,7.343
1409,25.41907147,Sweden,2020,7.353499889
1410,209.5958526,Switzerland,2015,7.587
1411,211.8972478,Switzerland,2016,7.509
1412,213.883834,Switzerland,2017,7.494
1413,215.4651922,Switzerland,2018,7.487
1414,217.0076296,Switzerland,2019,7.48
1415,218.5668955,Switzerland,2020,7.559899807
1422,60.91230636,Tajikistan,2015,4.786
1423,62.4221846,Tajikistan,2016,4.996
1424,63.98350025,Tajikistan,2017,5.041
1425,65.57278622,Tajikistan,2018,5.352
1426,67.15918294,Tajikistan,2019,5.467
1427,68.71995101,Tajikistan,2020,5.555699825
1434,134.4996359,Thailand,2015,6.455
1435,135.0022764,Thailand,2016,6.474
1436,135.4691166,Thailand,2017,6.424
1437,135.8970698,Thailand,2018,6.072
1438,136.28292,Thailand,2019,6.008
1439,136.6242792,Thailand,2020,5.998799801
1450,148.6000919,Togo,2019,4.085
1451,152.2106453,Togo,2020,4.187200069
1458,267.1212476,Trinidad and Tobago,2015,6.168
1459,268.5307992,Trinidad and Tobago,2016,6.168
1460,269.797271,Trinidad and Tobago,2017,6.168
1462,271.9237817,Trinidad and Tobago,2019,6.192
1463,272.8052632,Trinidad and Tobago,2020,6.191899776
1464,71.96157956,Tunisia,2015,4.739
1465,72.75966787,Tunisia,2016,5.045
1466,73.59319001,Tunisia,2017,4.805
1467,74.44131694,Tunisia,2018,4.592
1468,75.27498069,Tunisia,2019,4.461
1469,76.07246395,Tunisia,2020,4.392199993
1470,102.0352806,Turkey,2015,5.332
1471,103.7223965,Turkey,2016,5.389
1472,105.3966854,Turkey,2017,5.5
1473,106.986591,Turkey,2018,5.483
1474,108.4022283,Turkey,2019,5.373
1475,109.583913,Turkey,2020,5.131800175
