,Population density (people per sq. km of land area),Country,Year,Score
18,105.135146,Albania,2015,4.959
19,104.9671898,Albania,2016,4.655
20,104.8706934,Albania,2017,4.644
21,104.6122628,Albania,2018,4.586
22,104.1675547,Albania,2019,4.719
23,103.5672628,Albania,2020,4.882699966
24,16.68024357,Algeria,2015,5.605
25,17.02594783,Algeria,2016,6.355
26,17.37769724,Algeria,2017,5.872
27,17.73006175,Algeria,2018,5.295
28,18.07629545,Algeria,2019,5.211
29,18.41133986,Algeria,2020,5.005099773
42,22.3665517,Angola,2015,4.033
60,15.76063274,Argentina,2015,6.574
61,15.92813508,Argentina,2016,6.65
62,16.09419079,Argentina,2017,6.599
63,16.2585101,Argentina,2018,6.388
64,16.42082662,Argentina,2019,6.086
65,16.58089261,Argentina,2020,5.974699974
66,102.7593607,Armenia,2015,4.35
67,103.131261,Armenia,2016,4.36
68,103.4348086,Armenia,2017,4.376
69,103.6789954,Armenia,2018,4.321
70,103.889287,Armenia,2019,4.559
71,104.0826835,Armenia,2020,4.676799774
78,3.100112596,Australia,2015,7.284
79,3.144935531,Australia,2016,7.313
80,3.198361419,Australia,2017,7.284
81,3.24787091,Australia,2018,7.272
82,3.297670183,Australia,2019,7.228
83,3.339440225,Australia,2020,7.222799778
84,104.7345977,Austria,2015,7.2
85,105.8733398,Austria,2016,7.119
86,106.6113185,Austria,2017,7.006
87,107.1318589,Austria,2018,7.139
88,107.6093068,Austria,2019,7.246
89,108.0611367,Austria,2020,7.294199944
90,116.7310768,Azerbaijan,2015,5.212
91,118.033289,Azerbaijan,2016,5.291
92,119.2087416,Azerbaijan,2017,5.234
93,120.2575919,Azerbaijan,2018,5.201
94,121.2800711,Azerbaijan,2019,5.208
95,122.3185327,Azerbaijan,2020,5.164800167
102,1763.307198,Bahrain,2015,5.96
103,1830.286264,Bahrain,2016,6.218
104,1915.483333,Bahrain,2017,6.087
105,2012.102564,Bahrain,2018,6.105
106,2104.05641,Bahrain,2019,6.199
107,2181.516667,Bahrain,2020,6.227300167
108,1200.401682,Bangladesh,2015,4.694
109,1213.62181,Bangladesh,2016,4.643
110,1226.745187,Bangladesh,2017,4.608
111,1239.738135,Bangladesh,2018,4.5
112,1252.563363,Bangladesh,2019,4.456
113,1265.186932,Bangladesh,2020,4.832799911
120,46.75194356,Belarus,2015,5.813
121,46.8083532,Belarus,2016,5.802
122,46.79178285,Belarus,2017,5.569
123,46.72134693,Belarus,2018,5.483
124,46.39791605,Belarus,2019,5.323
125,46.30436989,Belarus,2020,5.539899826
126,372.3314399,Belgium,2015,6.937
127,374.2213342,Belgium,2016,6.929
128,375.6657199,Belgium,2017,6.891
129,377.3795905,Belgium,2018,6.927
130,379.4247028,Belgium,2019,6.923
131,381.6379458,Belgium,2020,6.863500118
133,16.15076721,Belize,2016,5.956
134,16.47413415,Belize,2017,5.956
135,16.79399386,Belize,2018,5.956
141,101.8538045,Benin,2018,4.141
142,104.6572455,Benin,2019,4.883
143,107.5132849,Benin,2020,5.21600008
150,19.09607262,Bhutan,2015,5.253
151,19.31381082,Bhutan,2016,5.196
152,19.54600986,Bhutan,2017,5.011
153,19.77965391,Bhutan,2018,5.082
154,20.00770844,Bhutan,2019,5.082
156,10.0339075,Bolivia,2015,5.89
157,10.18353365,Bolivia,2016,5.822
158,10.33218222,Bolivia,2017,5.823
159,10.480144,Bolivia,2018,5.752
160,10.62780578,Bolivia,2019,5.779
161,10.77543524,Bolivia,2020,5.747499943
162,66.97972656,Bosnia and Herzegovina,2015,4.949
163,66.13794922,Bosnia and Herzegovina,2016,5.163
164,65.45964844,Bosnia and Herzegovina,2017,5.182
165,64.92048828,Bosnia and Herzegovina,2018,5.129
166,64.47261719,Bosnia and Herzegovina,2019,5.386
167,64.07841797,Bosnia and Herzegovina,2020,5.674099922
