,Country,Year,Population density (people per sq. km of land area),Score,Rank,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
79,Australia,2016,3.144935531,7.313,9.0,1.4444,1.1048,0.8512,0.5684,0.4741,0.3233
80,Australia,2017,3.198361419,7.284,10.0,1.484,1.51,0.844,0.602,0.478,0.301
81,Australia,2018,3.24787091,7.272,10.0,1.34,1.573,0.91,0.647,0.361,0.302
82,Australia,2019,3.297670183,7.228,11.0,1.372,1.548,1.036,0.557,0.332,0.29
83,Australia,2020,3.339440225,7.222799778,12.0,10.7206,0.9449,73.6045,0.9154,0.1905,0.4152
84,Austria,2015,104.7345977,7.2,13.0,10.6756,0.9311,70.8936,0.9086,0.124,0.6701
85,Austria,2016,105.8733398,7.119,12.0,1.4504,1.0838,0.8056,0.5436,0.3286,0.2135
86,Austria,2017,106.6113185,7.006,13.0,1.487,1.46,0.815,0.568,0.316,0.221
87,Austria,2018,107.1318589,7.139,12.0,1.341,1.504,0.891,0.617,0.242,0.224
88,Austria,2019,107.6093068,7.246,10.0,1.376,1.475,1.016,0.532,0.244,0.226
89,Austria,2020,108.0611367,7.294199944,9.0,10.7428,0.928,73.0025,0.9,0.0854,0.5
90,Azerbaijan,2015,116.7310768,5.212,80.0,9.7149,0.7806,61.8611,0.6676,-0.1972,0.7114
91,Azerbaijan,2016,118.033289,5.291,81.0,1.1237,0.7604,0.545,0.3533,0.0564,0.1791
92,Azerbaijan,2017,119.2087416,5.234,85.0,1.154,1.152,0.541,0.398,0.045,0.181
93,Azerbaijan,2018,120.2575919,5.201,87.0,1.024,1.161,0.603,0.43,0.031,0.176
94,Azerbaijan,2019,121.2800711,5.208,90.0,1.043,1.147,0.769,0.351,0.035,0.182
95,Azerbaijan,2020,122.3185327,5.164800167,89.0,9.6877,0.8193,65.5084,0.7868,-0.2403,0.5525
102,Bahrain,2015,1763.307198,5.96,49.0,10.6343,0.8973,65.7168,0.7479,-0.0757,0.4815
103,Bahrain,2016,1830.286264,6.218,42.0,1.4402,0.944,0.657,0.4738,0.1715,0.2577
104,Bahrain,2017,1915.483333,6.087,41.0,1.488,1.323,0.653,0.537,0.173,0.257
105,Bahrain,2018,2012.102564,6.105,43.0,1.338,1.366,0.698,0.594,0.243,0.123
106,Bahrain,2019,2104.05641,6.199,37.0,1.362,1.368,0.871,0.536,0.255,0.11
107,Bahrain,2020,2181.516667,6.227300167,40.0,10.6764,0.8763,68.5,0.9059,0.1337,0.7393
108,Bangladesh,2015,1200.401682,4.694,109.0,7.7946,0.5681,60.4584,0.7036,-0.0267,0.7668
109,Bangladesh,2016,1213.62181,4.643,110.0,0.5418,0.2475,0.5299,0.3978,0.1913,0.1258
110,Bangladesh,2017,1226.745187,4.608,110.0,0.587,0.735,0.533,0.478,0.172,0.124
111,Bangladesh,2018,1239.738135,4.5,115.0,0.532,0.85,0.579,0.58,0.153,0.144
112,Bangladesh,2019,1252.563363,4.456,125.0,0.562,0.928,0.723,0.527,0.166,0.143
113,Bangladesh,2020,1265.186932,4.832799911,107.0,8.2871,0.6873,64.5031,0.9006,-0.0337,0.6618
120,Belarus,2015,46.75194356,5.813,59.0,9.7395,0.9042,65.3164,0.6762,-0.1559,0.6636
121,Belarus,2016,46.8083532,5.802,61.0,1.1306,1.0499,0.631,0.2909,0.1394,0.1746
122,Belarus,2017,46.79178285,5.569,67.0,1.157,1.445,0.638,0.295,0.155,0.156
123,Belarus,2018,46.72134693,5.483,73.0,1.039,1.498,0.7,0.307,0.101,0.154
124,Belarus,2019,46.39791605,5.323,81.0,1.067,1.465,0.789,0.235,0.094,0.142
125,Belarus,2020,46.30436989,5.539899826,75.0,9.7799,0.9067,66.1043,0.6392,-0.1649,0.6357
126,Belgium,2015,372.3314399,6.937,19.0,10.5854,0.9264,71.1193,0.8708,-0.0136,0.609
127,Belgium,2016,374.2213342,6.929,18.0,1.4254,1.0525,0.8196,0.5135,0.2424,0.2625
128,Belgium,2017,375.6657199,6.891,17.0,1.464,1.462,0.818,0.54,0.232,0.251
129,Belgium,2018,377.3795905,6.927,16.0,1.324,1.483,0.894,0.583,0.188,0.24
130,Belgium,2019,379.4247028,6.923,18.0,1.356,1.504,0.986,0.473,0.16,0.21
131,Belgium,2020,381.6379458,6.863500118,20.0,10.6736,0.9116,72.0016,0.8136,-0.0787,0.6123
133,Belize,2016,16.15076721,5.956,52.0,0.8762,0.6865,0.4557,0.5123,0.2368,0.1077
134,Belize,2017,16.47413415,5.956,50.0,0.908,1.081,0.45,0.548,0.24,0.097
135,Belize,2018,16.79399386,5.956,49.0,0.807,1.101,0.474,0.593,0.183,0.089
138,Benin,2015,93.79178787,3.34,155.0,7.4546,0.5357,50.249,0.7759,-0.0643,0.8389
139,Benin,2016,96.41780773,3.484,153.0,0.395,0.1042,0.2103,0.3975,0.2018,0.0668
140,Benin,2017,99.10599503,3.657,143.0,0.431,0.435,0.21,0.426,0.208,0.061
141,Benin,2018,101.8538045,4.141,136.0,0.378,0.372,0.24,0.44,0.163,0.067
142,Benin,2019,104.6572455,4.883,102.0,0.393,0.437,0.397,0.349,0.175,0.082
143,Benin,2020,107.5132849,5.21600008,86.0,7.6743,0.4687,54.3125,0.7352,-0.0035,0.7405
150,Bhutan,2015,19.09607262,5.253,79.0,8.9378,0.8502,59.4622,0.8211,0.3134,0.7213
151,Bhutan,2016,19.31381082,5.196,84.0,0.8527,0.9084,0.4976,0.4607,0.4855,0.1616
152,Bhutan,2017,19.54600986,5.011,97.0,0.885,1.34,0.496,0.502,0.474,0.173
153,Bhutan,2018,19.77965391,5.082,97.0,0.796,1.335,0.527,0.541,0.364,0.171
154,Bhutan,2019,20.00770844,5.082,95.0,0.813,1.321,0.604,0.457,0.37,0.167
156,Bolivia,2015,10.0339075,5.89,51.0,8.6647,0.7976,58.2022,0.861,-0.0354,0.8264
157,Bolivia,2016,10.18353365,5.822,59.0,0.7942,0.8378,0.4697,0.5096,0.217,0.0775
158,Bolivia,2017,10.33218222,5.823,58.0,0.834,1.228,0.474,0.559,0.226,0.06
159,Bolivia,2018,10.480144,5.752,62.0,0.751,1.223,0.508,0.606,0.141,0.054
160,Bolivia,2019,10.62780578,5.779,61.0,0.776,1.209,0.706,0.511,0.137,0.064
161,Bolivia,2020,10.77543524,5.747499943,65.0,8.8511,0.8031,63.6005,0.8759,-0.0917,0.8226
162,Bosnia and Herzegovina,2015,66.97972656,4.949,96.0,9.1273,0.7727,67.2941,0.404,0.0189,0.9621
163,Bosnia and Herzegovina,2016,66.13794922,5.163,87.0,0.9338,0.6437,0.7077,0.0951,0.2989,0.0
164,Bosnia and Herzegovina,2017,65.45964844,5.182,90.0,0.982,1.069,0.705,0.204,0.329,0.0
165,Bosnia and Herzegovina,2018,64.92048828,5.129,93.0,0.915,1.078,0.758,0.28,0.216,0.0
166,Bosnia and Herzegovina,2019,64.47261719,5.386,78.0,0.945,1.212,0.845,0.212,0.263,0.006
167,Bosnia and Herzegovina,2020,64.07841797,5.674099922,69.0,9.4558,0.8292,67.8081,0.6514,0.0983,0.9338
168,Botswana,2015,3.742021774,4.332,128.0,9.6219,0.8505,40.4443,0.7859,-0.1634,0.7683
169,Botswana,2016,3.811206395,3.974,137.0,1.0943,0.8919,0.3475,0.4409,0.1243,0.1077
170,Botswana,2017,3.890875726,3.766,142.0,1.122,1.222,0.342,0.505,0.099,0.099
171,Botswana,2018,3.97732077,3.59,146.0,1.017,1.174,0.417,0.557,0.042,0.092
172,Botswana,2019,4.064903923,3.488,148.0,1.041,1.145,0.538,0.455,0.025,0.1
173,Botswana,2020,4.149462707,3.478899956,147.0,9.7112,0.7791,58.9245,0.8213,-0.2504,0.7779
174,Brazil,2015,24.46378728,6.983,16.0,9.5841,0.9042,63.9052,0.7816,-0.1111,0.6884
175,Brazil,2016,24.66614055,6.952,17.0,1.0875,1.0394,0.6142,0.4043,0.1578,0.1417
176,Brazil,2017,24.86603778,6.635,22.0,1.107,1.431,0.617,0.437,0.162,0.111
177,Brazil,2018,25.06171469,6.419,28.0,0.986,1.474,0.675,0.493,0.11,0.088
178,Brazil,2019,25.25077577,6.3,32.0,1.004,1.439,0.802,0.39,0.099,0.086
