,Country,Year,Population density (people per sq. km of land area),Score,Rank,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
524,Georgia,2017,65.22278596,4.286,125.0,0.951,0.571,0.65,0.309,0.054,0.252
525,Georgia,2018,65.19733021,4.34,128.0,0.853,0.592,0.643,0.375,0.038,0.215
526,Georgia,2019,65.08556982,4.519,119.0,0.886,0.666,0.752,0.346,0.043,0.164
527,Georgia,2020,64.97778089,4.672599792,117.0,9.2261,0.629,64.4952,0.8016,-0.2289,0.6659
528,Germany,2015,234.1529869,6.75,26.0,10.647,0.9321,70.9455,0.8995,0.0621,0.62
529,Germany,2016,235.7129294,6.994,16.0,1.4479,1.0977,0.8149,0.5347,0.3045,0.2855
530,Germany,2017,236.5887226,6.951,16.0,1.488,1.473,0.799,0.563,0.336,0.277
531,Germany,2018,237.2940123,6.965,15.0,1.34,1.474,0.861,0.586,0.273,0.28
532,Germany,2019,237.8297613,6.985,17.0,1.373,1.454,0.987,0.495,0.261,0.265
533,Germany,2020,238.252118,7.075799942,17.0,10.7328,0.8989,72.202,0.8674,0.0802,0.4564
534,Ghana,2015,122.3925595,4.633,114.0,8.2485,0.6723,53.2201,0.718,-0.003,0.8968
535,Ghana,2016,125.1733629,4.276,124.0,0.6311,0.4935,0.2968,0.4097,0.212,0.0326
536,Ghana,2017,127.9839325,4.12,131.0,0.667,0.874,0.296,0.423,0.257,0.025
537,Ghana,2018,130.8214292,4.657,108.0,0.592,0.896,0.337,0.499,0.212,0.029
538,Ghana,2019,133.6813659,4.996,98.0,0.611,0.868,0.486,0.381,0.245,0.04
539,Ghana,2020,136.560363,5.147999763,91.0,8.3506,0.7286,57.204,0.7948,0.0942,0.848
546,Greece,2015,83.94788984,4.857,102.0,10.114,0.777,70.5938,0.3893,-0.2962,0.9436
547,Greece,2016,83.5994647,5.033,99.0,1.2489,0.7547,0.8003,0.0582,0.0,0.0413
548,Greece,2017,83.43428239,5.227,87.0,1.289,1.239,0.81,0.096,0.0,0.043
549,Greece,2018,83.26518231,5.358,79.0,1.154,1.202,0.879,0.131,0.0,0.044
550,Greece,2019,83.17751746,5.287,82.0,1.181,1.156,0.999,0.067,0.0,0.034
551,Greece,2020,83.13071373,5.514999866,77.0,10.1323,0.8144,72.4053,0.5413,-0.3009,0.8599
570,Guatemala,2015,145.272667,6.123,43.0,8.8615,0.8249,61.9983,0.864,0.0529,0.8158
571,Guatemala,2016,147.7014744,6.324,39.0,0.8345,0.8712,0.5404,0.5038,0.2881,0.087
572,Guatemala,2017,150.1252146,6.454,29.0,0.872,1.256,0.54,0.531,0.283,0.077
573,Guatemala,2018,152.5471258,6.382,30.0,0.781,1.268,0.608,0.604,0.179,0.071
574,Guatemala,2019,154.946118,6.436,27.0,0.8,1.269,0.746,0.535,0.175,0.078
575,Guatemala,2020,157.3192703,6.398900032,29.0,8.9248,0.8166,64.8089,0.9081,-0.0429,0.7832
576,Guinea,2015,46.52489012,3.656,150.0,7.1098,0.5822,47.3941,0.6742,0.0677,0.7736
577,Guinea,2016,47.77158554,3.607,151.0,0.2242,0.3109,0.1883,0.3095,0.2991,0.1192
578,Guinea,2017,49.11084161,3.507,149.0,0.245,0.791,0.194,0.349,0.265,0.111
579,Guinea,2018,50.52210646,3.964,140.0,0.344,0.792,0.211,0.394,0.185,0.094
580,Guinea,2019,51.97479245,4.534,118.0,0.38,0.829,0.375,0.332,0.207,0.086
581,Guinea,2020,53.44616637,4.949299812,102.0,7.751,0.6376,54.4678,0.7068,0.0763,0.7618
594,Haiti,2015,388.0820029,4.518,119.0,7.3936,0.6989,52.7558,0.548,0.2904,0.6939
595,Haiti,2016,393.3227866,4.028,136.0,0.341,0.2956,0.2749,0.1207,0.4796,0.1448
596,Haiti,2017,398.4893687,3.603,145.0,0.369,0.64,0.277,0.03,0.489,0.1
597,Haiti,2018,403.5988026,3.582,148.0,0.315,0.714,0.289,0.025,0.392,0.104
598,Haiti,2019,408.6748549,3.597,147.0,0.323,0.688,0.449,0.026,0.419,0.11
599,Haiti,2020,413.7348694,3.720799923,142.0,7.4113,0.5932,55.5986,0.5378,0.4005,0.6848
612,Honduras,2015,81.44520511,4.788,105.0,8.401,0.7871,63.8358,0.6972,-0.0038,0.8577
613,Honduras,2016,82.85632317,4.871,104.0,0.6943,0.756,0.5838,0.2676,0.2044,0.0691
614,Honduras,2017,84.27040844,5.181,91.0,0.731,1.144,0.583,0.348,0.236,0.073
615,Honduras,2018,85.68704084,5.504,72.0,0.62,1.205,0.622,0.459,0.197,0.074
616,Honduras,2019,87.10443293,5.86,59.0,0.642,1.236,0.828,0.507,0.246,0.078
617,Honduras,2020,88.52094021,5.953199863,56.0,8.4245,0.8219,67.1988,0.8706,0.087,0.8011
621,"Hong Kong SAR, China",2018,7096.190476,5.43,76.0,1.405,1.29,1.03,0.524,0.246,0.291
624,Hungary,2015,107.8569801,4.8,104.0,10.0125,0.8914,66.1465,0.621,-0.1337,0.922
625,Hungary,2016,107.5391519,5.145,91.0,1.2414,0.9316,0.6761,0.1977,0.099,0.0447
626,Hungary,2017,107.253627,5.324,75.0,1.286,1.343,0.688,0.176,0.078,0.037
627,Hungary,2018,107.1177296,5.62,69.0,1.171,1.401,0.732,0.259,0.061,0.022
628,Hungary,2019,107.0692636,5.758,62.0,1.201,1.41,0.828,0.199,0.081,0.02
629,Hungary,2020,106.8350099,6.000400066,53.0,10.2492,0.9219,67.61,0.719,-0.1943,0.8929
660,Iceland,2015,3.299900249,7.561,2.0,10.5685,0.9752,72.9686,0.9128,0.2579,0.7418
661,Iceland,2016,3.346024938,7.501,3.0,1.4267,1.1833,0.8673,0.5662,0.4768,0.1497
662,Iceland,2017,3.425436409,7.504,3.0,1.481,1.611,0.834,0.627,0.476,0.154
663,Iceland,2018,3.498175146,7.495,4.0,1.343,1.644,0.914,0.677,0.353,0.138
664,Iceland,2019,3.575949618,7.494,4.0,1.38,1.624,1.026,0.591,0.354,0.118
665,Iceland,2020,3.634087077,7.504499912,4.0,10.7726,0.9747,73.0,0.9489,0.2469,0.7117
666,India,2015,440.6554549,4.565,117.0,8.5532,0.5474,57.3384,0.6938,0.04,0.8313
667,India,2016,445.4869181,4.404,118.0,0.7404,0.2925,0.4509,0.4028,0.2503,0.0872
668,India,2017,450.2493211,4.315,122.0,0.792,0.754,0.455,0.47,0.232,0.092
669,India,2018,454.9464659,4.19,133.0,0.721,0.747,0.485,0.539,0.172,0.093
670,India,2019,459.5796959,4.015,140.0,0.755,0.765,0.588,0.498,0.2,0.085
671,India,2020,464.1494102,3.573299885,144.0,8.8498,0.5922,60.2152,0.8814,0.0576,0.772
672,Indonesia,2015,142.6294634,5.399,74.0,9.1152,0.8431,61.77,0.7585,0.3583,0.9657
673,Indonesia,2016,139.3095814,5.314,79.0,0.951,0.8763,0.4937,0.3924,0.5652,0.0032
674,Indonesia,2017,140.9578113,5.262,81.0,0.996,1.274,0.492,0.443,0.612,0.015
675,Indonesia,2018,142.5660933,5.093,96.0,0.899,1.215,0.522,0.538,0.484,0.018
676,Indonesia,2019,144.1399885,5.192,92.0,0.931,1.203,0.66,0.491,0.498,0.028
677,Indonesia,2020,145.6835435,5.285600185,84.0,9.3698,0.8084,62.1558,0.8706,0.5196,0.8763
684,Iraq,2015,81.93958694,4.677,112.0,9.5972,0.7307,60.485,0.3163,-0.0686,0.7475
685,Iraq,2016,84.33142299,4.575,112.0,1.0747,0.592,0.5108,0.2486,0.1959,0.1364
686,Iraq,2017,86.50165159,4.497,117.0,1.103,0.979,0.501,0.289,0.2,0.107
687,Iraq,2018,88.53058084,4.456,117.0,1.01,0.971,0.536,0.304,0.148,0.095
688,Iraq,2019,90.54884504,4.437,126.0,1.043,0.98,0.574,0.241,0.148,0.089
689,Iraq,2020,92.65125263,4.784800053,110.0,9.6611,0.7477,59.9035,0.6332,-0.0696,0.8223
690,Ireland,2015,68.25311366,6.94,18.0,10.6716,0.9615,71.0711,0.9024,0.2867,0.5115
691,Ireland,2016,69.0279431,6.907,19.0,1.4834,1.1616,0.8145,0.5401,0.4496,0.2975
692,Ireland,2017,69.78353898,6.977,15.0,1.536,1.558,0.81,0.573,0.428,0.298
693,Ireland,2018,70.65344753,6.977,14.0,1.448,1.583,0.876,0.614,0.307,0.306
694,Ireland,2019,71.62636087,7.021,16.0,1.499,1.553,0.999,0.516,0.298,0.31
695,Ireland,2020,72.50288866,7.093699932,16.0,11.161,0.9421,72.3008,0.887,0.1458,0.3572
702,Israel,2015,387.2504621,7.278,11.0,10.3424,0.9005,71.7409,0.7083,0.1251,0.8425
703,Israel,2016,394.9168207,7.267,11.0,1.3377,0.9954,0.8492,0.3643,0.3229,0.0873
704,Israel,2017,402.6478743,7.213,11.0,1.375,1.376,0.838,0.406,0.33,0.085
705,Israel,2018,410.4805915,7.19,11.0,1.244,1.433,0.888,0.464,0.262,0.082
706,Israel,2019,418.3918669,7.139,13.0,1.276,1.455,1.029,0.371,0.261,0.082
707,Israel,2020,425.9195933,7.128600121,14.0,10.4175,0.9136,73.2003,0.7476,0.1026,0.7809
708,Italy,2015,206.4682872,5.948,50.0,10.4116,0.8895,73.2076,0.5652,-0.0064,0.9198
709,Italy,2016,206.1178282,5.977,50.0,1.3549,1.0417,0.851,0.1883,0.1668,0.0256
710,Italy,2017,205.8091691,5.964,48.0,1.395,1.445,0.853,0.256,0.173,0.028
711,Italy,2018,202.941457,6.0,47.0,1.264,1.501,0.946,0.281,0.137,0.028
712,Italy,2019,200.6149229,6.223,36.0,1.294,1.488,1.039,0.231,0.158,0.03
713,Italy,2020,200.0269472,6.38740015,30.0,10.4818,0.8899,73.6017,0.6647,-0.0435,0.8734
714,Jamaica,2015,266.945891,5.709,65.0,9.0603,0.8699,63.5577,0.7948,-0.0266,0.9293
715,Jamaica,2016,268.3510619,5.51,73.0,0.8933,0.9637,0.5947,0.436,0.2224,0.0429
716,Jamaica,2017,269.699723,5.311,76.0,0.926,1.368,0.641,0.474,0.234,0.055
717,Jamaica,2018,270.9928901,5.89,56.0,0.819,1.493,0.693,0.575,0.096,0.031
718,Jamaica,2019,272.23241,5.89,56.0,0.831,1.478,0.831,0.49,0.107,0.028
719,Jamaica,2020,273.4220683,5.889800072,60.0,9.0063,0.9157,67.1,0.8581,-0.1251,0.8889
720,Japan,2015,348.8093278,5.987,46.0,10.4717,0.9144,74.532,0.787,-0.1603,0.6799
721,Japan,2016,348.4074376,5.921,53.0,1.3801,1.0605,0.9149,0.4676,0.1022,0.1899
722,Japan,2017,347.834834,5.92,51.0,1.417,1.436,0.913,0.506,0.121,0.164
723,Japan,2018,347.1305898,5.915,54.0,1.294,1.462,0.988,0.553,0.079,0.15
724,Japan,2019,346.4058464,5.886,58.0,1.327,1.419,1.088,0.445,0.069,0.14
725,Japan,2020,345.2291385,5.870800018,62.0,10.5797,0.8835,75.001,0.81,-0.2469,0.6546
726,Jordan,2015,104.3768078,5.192,82.0,9.3411,0.8292,63.8825,0.7021,-0.1559,0.7395
727,Jordan,2016,107.617549,5.303,80.0,0.9967,0.8622,0.6071,0.3602,0.1426,0.133
728,Jordan,2017,110.2257265,5.336,74.0,0.991,1.239,0.605,0.418,0.172,0.12
729,Jordan,2018,112.2473755,5.161,90.0,0.822,1.265,0.645,0.468,0.13,0.134
730,Jordan,2019,113.783476,4.906,101.0,0.837,1.225,0.815,0.383,0.11,0.13
731,Jordan,2020,114.9261095,4.633399963,119.0,9.026,0.8022,66.7998,0.751,-0.1626,0.7003
732,Kazakhstan,2015,6.498057562,5.855,54.0,10.0173,0.8579,61.9778,0.8063,-0.146,0.8319
733,Kazakhstan,2016,6.591123088,5.919,54.0,1.2294,0.9554,0.5739,0.4052,0.1501,0.1113
734,Kazakhstan,2017,6.681400156,5.819,60.0,1.285,1.384,0.606,0.437,0.202,0.119
735,Kazakhstan,2018,6.769808497,5.79,60.0,1.143,1.516,0.631,0.454,0.148,0.121
736,Kazakhstan,2019,6.85767789,5.809,60.0,1.173,1.508,0.729,0.41,0.146,0.096
737,Kazakhstan,2020,6.946860762,6.057899952,50.0,10.1147,0.9347,64.61,0.8116,-0.0685,0.7645
738,Kenya,2015,84.12400991,4.419,125.0,7.6939,0.8061,53.6909,0.7168,0.1806,0.8733
739,Kenya,2016,86.18535158,4.356,122.0,0.5227,0.7624,0.3015,0.4058,0.4133,0.0669
740,Kenya,2017,88.24040834,4.553,112.0,0.56,1.068,0.31,0.453,0.445,0.065
741,Kenya,2018,90.29864357,4.41,124.0,0.493,1.048,0.454,0.504,0.352,0.055
742,Kenya,2019,92.37440173,4.509,121.0,0.512,0.983,0.581,0.431,0.372,0.053
743,Kenya,2020,94.47816003,4.583000183,121.0,8.0298,0.7027,60.0969,0.8297,0.2947,0.8315
762,Kosovo,2015,164.2505741,5.589,69.0,9.033,0.7278,61.5312,0.5511,0.0633,0.8907
763,Kosovo,2016,163.2733535,5.401,77.0,0.9015,0.6606,0.54,0.144,0.2799,0.0655
764,Kosovo,2017,164.5084045,5.279,78.0,0.951,1.138,0.541,0.26,0.32,0.057
768,Kuwait,2015,215.2406285,6.295,39.0,11.3408,0.8762,64.9134,0.8428,-0.0901,0.5604
769,Kuwait,2016,222.0461279,6.239,41.0,1.6171,0.8776,0.6357,0.4317,0.1597,0.2367
770,Kuwait,2017,227.6151515,6.105,39.0,1.633,1.26,0.632,0.496,0.228,0.215
771,Kuwait,2018,232.1725028,6.083,45.0,1.474,1.301,0.675,0.554,0.167,0.106
772,Kuwait,2019,236.0873737,6.021,51.0,1.5,1.319,0.808,0.493,0.142,0.097
773,Kuwait,2020,239.65,6.102099895,48.0,11.0898,0.8465,66.7676,0.8724,-0.1002,0.7608
810,Latvia,2015,31.82885884,5.098,89.0,9.9885,0.8467,64.8934,0.5978,-0.0647,0.8655
811,Latvia,2016,31.54438184,5.56,68.0,1.2179,0.9503,0.6395,0.28,0.1745,0.0889
812,Latvia,2017,31.27109966,5.85,54.0,1.261,1.405,0.639,0.326,0.153,0.074
813,Latvia,2018,31.03839588,5.933,53.0,1.148,1.454,0.671,0.363,0.092,0.066
814,Latvia,2019,30.8233532,5.94,53.0,1.187,1.465,0.812,0.264,0.075,0.064
815,Latvia,2020,30.62567241,5.949999809,57.0,10.1753,0.9183,66.8075,0.6712,-0.1869,0.7956
822,Lebanon,2015,638.5807429,4.839,103.0,9.7203,0.7228,69.0527,0.6381,-0.0187,0.8932
823,Lebanon,2016,656.3324536,5.129,93.0,1.1227,0.6418,0.7617,0.2623,0.2369,0.0306
824,Lebanon,2017,666.6053763,5.225,88.0,1.075,1.13,0.735,0.289,0.264,0.038
825,Lebanon,2018,670.5188661,5.199,88.0,0.965,1.166,0.785,0.292,0.187,0.034
826,Lebanon,2019,670.1572825,5.197,91.0,0.987,1.224,0.815,0.216,0.166,0.027
827,Lebanon,2020,667.1986315,4.771500111,111.0,9.3617,0.8243,67.1066,0.5514,-0.0612,0.9023
828,Lesotho,2015,67.81986166,4.898,97.0,7.7269,0.8238,41.469,0.6177,-0.0881,0.7678
830,Lesotho,2017,68.89104084,3.808,139.0,0.521,1.19,0.0,0.391,0.157,0.119
831,Lesotho,2018,69.44423584,3.808,141.0,0.472,1.215,0.079,0.423,0.116,0.112
832,Lesotho,2019,70.00220685,3.802,144.0,0.489,1.169,0.168,0.359,0.107,0.093
833,Lesotho,2020,70.56166008,3.652800083,143.0,7.9605,0.7805,48.0036,0.7381,-0.1457,0.8574
834,Liberia,2015,46.43094892,4.571,116.0,6.7941,0.7184,51.0769,0.587,0.0132,0.8671
835,Liberia,2016,47.62030731,3.622,150.0,0.1071,0.5035,0.2317,0.2575,0.2406,0.0485
836,Liberia,2017,48.81877076,3.533,148.0,0.119,0.872,0.23,0.333,0.267,0.039
837,Liberia,2018,50.03089701,3.495,149.0,0.076,0.858,0.267,0.419,0.206,0.03
838,Liberia,2019,51.26011213,3.975,141.0,0.073,0.922,0.443,0.37,0.233,0.033
839,Liberia,2020,52.50910507,4.557899952,124.0,7.0544,0.7093,56.0963,0.7353,0.0423,0.8564
840,Libya,2015,3.647723269,5.754,63.0,10.0446,0.8563,64.1502,0.7116,-0.0639,0.7912
841,Libya,2016,3.689691624,5.615,67.0,1.0669,0.9508,0.523,0.4067,0.1709,0.1034
842,Libya,2017,3.740024666,5.525,68.0,1.102,1.358,0.52,0.466,0.152,0.093
843,Libya,2018,3.795631245,5.566,70.0,0.985,1.35,0.553,0.496,0.116,0.148
844,Libya,2019,3.851832297,5.525,72.0,1.044,1.303,0.673,0.416,0.133,0.152
845,Libya,2020,3.905161008,5.488800049,80.0,9.7898,0.8259,62.3,0.7732,-0.0851,0.6688
852,Lithuania,2015,46.36727853,5.833,56.0,10.0931,0.9145,65.143,0.5188,-0.2627,0.9493
853,Lithuania,2016,45.78766642,5.813,60.0,1.2692,1.0641,0.6467,0.1893,0.0202,0.0182
854,Lithuania,2017,45.15258377,5.902,52.0,1.315,1.474,0.629,0.234,0.01,0.012
855,Lithuania,2018,44.73164618,5.952,50.0,1.197,1.527,0.716,0.35,0.026,0.006
856,Lithuania,2019,44.61339614,6.149,42.0,1.238,1.515,0.818,0.291,0.043,0.042
857,Lithuania,2020,44.62238544,6.215499878,41.0,10.3436,0.9261,67.2941,0.7474,-0.2197,0.8096
876,Luxembourg,2015,234.4049383,6.946,17.0,11.3705,0.8987,71.9242,0.9005,0.0598,0.3675
877,Luxembourg,2016,239.5119342,6.871,20.0,1.6975,1.04,0.8454,0.5487,0.2757,0.3533
878,Luxembourg,2017,245.4057613,6.863,18.0,1.742,1.458,0.845,0.597,0.283,0.319
879,Luxembourg,2018,250.1851852,6.91,17.0,1.576,1.52,0.896,0.632,0.196,0.321
880,Luxembourg,2019,255.1444444,7.09,14.0,1.609,1.479,1.012,0.526,0.194,0.316
881,Luxembourg,2020,260.1954733,7.237500191,10.0,11.4507,0.9069,72.6,0.9056,-0.0046,0.3671
888,Madagascar,2015,41.65362668,3.681,147.0,7.2142,0.6674,55.6009,0.4983,-0.0253,0.8371
889,Madagascar,2016,42.78853558,3.695,148.0,0.2795,0.4612,0.3711,0.1368,0.2204,0.0751
890,Madagascar,2017,43.95068924,3.644,144.0,0.306,0.913,0.375,0.189,0.209,0.067
891,Madagascar,2018,45.13976109,3.774,143.0,0.262,0.908,0.402,0.221,0.155,0.049
892,Madagascar,2019,46.35494328,3.933,143.0,0.274,0.916,0.555,0.148,0.169,0.041
893,Madagascar,2020,47.59542626,4.165599823,137.0,7.2817,0.6682,59.1054,0.5576,-0.0118,0.8175
894,Malawi,2015,177.6124841,4.292,131.0,6.625,0.5598,46.8712,0.7248,0.1245,0.8553
895,Malawi,2016,182.4910161,4.156,132.0,0.0871,0.147,0.2936,0.4143,0.3097,0.0756
896,Malawi,2017,187.4224968,3.97,136.0,0.233,0.513,0.315,0.467,0.287,0.073
897,Malawi,2018,192.4397009,3.587,147.0,0.186,0.541,0.306,0.531,0.21,0.08
898,Malawi,2019,197.589616,3.41,150.0,0.191,0.56,0.495,0.443,0.218,0.089
899,Malawi,2020,202.9057594,3.538000107,145.0,7.0622,0.544,57.5929,0.8032,0.0214,0.7317
900,Malaysia,2015,92.13503272,5.77,61.0,10.0245,0.8361,64.8778,0.8193,0.1238,0.7995
901,Malaysia,2016,93.39416223,6.005,47.0,1.2514,0.8802,0.6237,0.3903,0.4147,0.0908
902,Malaysia,2017,94.6725156,6.084,42.0,1.291,1.285,0.619,0.402,0.417,0.066
903,Malaysia,2018,95.96114138,6.322,35.0,1.161,1.258,0.669,0.356,0.311,0.059
904,Malaysia,2019,97.24483032,5.339,80.0,1.221,1.171,0.828,0.508,0.26,0.024
905,Malaysia,2020,98.51163598,5.384300232,82.0,10.2625,0.8165,67.1022,0.8946,0.1147,0.8393
911,Maldives,2020,1801.806667,5.197599888,87.0,9.5186,0.9132,70.6,0.854,0.0381,0.8242
912,Mali,2015,14.29184963,3.995,138.0,7.3752,0.8214,46.1561,0.6849,-0.0575,0.7702
913,Mali,2016,14.72348405,4.073,135.0,0.3129,0.8633,0.1635,0.2754,0.2106,0.1365
914,Mali,2017,15.17175932,4.19,127.0,0.476,1.281,0.169,0.307,0.183,0.105
915,Mali,2018,15.63506913,4.447,118.0,0.37,1.233,0.152,0.367,0.139,0.056
916,Mali,2019,16.11062457,4.39,128.0,0.385,1.105,0.308,0.327,0.153,0.052
917,Mali,2020,16.59645957,4.729300022,114.0,7.6299,0.7315,51.727,0.7116,-0.0444,0.8393
918,Malta,2015,1390.790625,6.302,37.0,10.2775,0.9332,70.7777,0.889,0.3611,0.7507
919,Malta,2016,1422.9875,6.488,30.0,1.3078,1.0988,0.8032,0.5499,0.5624,0.1755
920,Malta,2017,1462.496875,6.527,27.0,1.343,1.488,0.822,0.589,0.575,0.153
921,Malta,2018,1514.46875,6.627,22.0,1.27,1.525,0.884,0.645,0.376,0.142
922,Malta,2019,1575.19375,6.726,22.0,1.3,1.52,0.999,0.564,0.375,0.151
923,Malta,2020,1641.515625,6.772799969,22.0,10.5338,0.9304,72.2,0.9249,0.215,0.6585
930,Mauritania,2015,3.925782478,4.436,124.0,7.9679,0.7517,51.6814,0.5462,-0.0181,0.6894
931,Mauritania,2016,4.039518774,4.201,130.0,0.6139,0.8414,0.2864,0.1268,0.2269,0.1795
932,Mauritania,2017,4.1550228,4.292,123.0,0.648,1.272,0.285,0.096,0.202,0.137
933,Mauritania,2018,4.272156787,4.356,126.0,0.557,1.245,0.292,0.129,0.134,0.093
934,Mauritania,2019,4.390897448,4.49,122.0,0.57,1.167,0.489,0.066,0.106,0.088
935,Mauritania,2020,4.511167168,4.374599934,129.0,8.2339,0.7908,57.0102,0.5515,-0.106,0.7462
936,Mauritius,2015,621.9729064,5.477,71.0,9.665,0.8004,64.356,0.8482,0.1831,0.8467
937,Mauritius,2016,622.4004926,5.648,66.0,1.1437,0.757,0.6619,0.4614,0.3695,0.052
938,Mauritius,2017,622.962069,5.629,64.0,1.189,1.21,0.638,0.491,0.361,0.042
939,Mauritius,2018,623.3019704,5.891,55.0,1.09,1.387,0.684,0.584,0.245,0.05
940,Mauritius,2019,623.5029557,5.888,57.0,1.12,1.402,0.798,0.498,0.215,0.06
941,Mauritius,2020,623.5172414,6.101299763,49.0,9.9568,0.9104,66.4043,0.8895,-0.0183,0.8053
942,Mexico,2015,62.68589779,7.187,14.0,9.7046,0.7708,68.1482,0.7734,-0.1175,0.6284
943,Mexico,2016,63.444728,6.778,21.0,1.1151,0.7146,0.7114,0.3771,0.1174,0.1835
944,Mexico,2017,64.1875182,6.578,25.0,1.153,1.211,0.71,0.413,0.121,0.133
945,Mexico,2018,64.91462332,6.488,24.0,1.038,1.252,0.761,0.479,0.069,0.095
946,Mexico,2019,65.62696006,6.595,23.0,1.07,1.323,0.861,0.433,0.074,0.073
947,Mexico,2020,66.32513851,6.465000153,24.0,9.7978,0.8387,68.299,0.8587,-0.1753,0.8068
978,Moldova,2015,98.70564474,5.889,52.0,8.3984,0.813,61.059,0.6276,-0.0301,0.9401
979,Moldova,2016,97.57878608,5.897,55.0,0.6918,0.8313,0.5231,0.252,0.2,0.019
980,Moldova,2017,95.90830926,5.838,56.0,0.729,1.252,0.589,0.241,0.209,0.01
981,Moldova,2018,94.2895938,5.64,67.0,0.657,1.301,0.62,0.232,0.171,0.0
982,Moldova,2019,92.7241551,5.529,71.0,0.685,1.328,0.739,0.245,0.181,0.0
983,Moldova,2020,91.14242244,5.607500076,70.0,8.7767,0.8433,65.013,0.7216,-0.0377,0.9133
990,Mongolia,2015,1.925460011,4.874,100.0,9.1149,0.9326,60.4963,0.7302,0.1258,0.9235
991,Mongolia,2016,1.962656864,4.907,101.0,0.9885,1.0898,0.5547,0.3597,0.3454,0.0329
992,Mongolia,2017,1.99953585,4.955,100.0,1.027,1.493,0.558,0.394,0.338,0.033
993,Mongolia,2018,2.035770635,5.125,94.0,0.914,1.517,0.575,0.395,0.253,0.032
994,Mongolia,2019,2.071058369,5.285,83.0,0.948,1.531,0.667,0.317,0.235,0.038
995,Mongolia,2020,2.105173526,5.456200123,81.0,9.4122,0.9371,62.3045,0.6934,0.0981,0.8635
996,Montenegro,2015,46.25717472,5.192,83.0,9.5631,0.767,64.9238,0.4895,-0.0912,0.7395
997,Montenegro,2016,46.26788104,5.161,88.0,1.0784,0.7417,0.6353,0.1511,0.1719,0.1272
998,Montenegro,2017,46.2730855,5.237,83.0,1.121,1.238,0.667,0.195,0.198,0.088
999,Montenegro,2018,46.26223048,5.347,81.0,1.017,1.279,0.729,0.259,0.111,0.081
1000,Montenegro,2019,46.24743494,5.523,73.0,1.051,1.361,0.871,0.197,0.142,0.08
1001,Montenegro,2020,46.22438662,5.54610014,72.0,9.7519,0.8553,68.5053,0.6496,-0.0756,0.7831
1002,Morocco,2015,77.66885055,5.013,92.0,8.8286,0.6561,60.744,0.7118,-0.2051,0.8304
1003,Morocco,2016,78.70552095,5.151,90.0,0.8406,0.386,0.5947,0.2565,0.0405,0.084
1004,Morocco,2017,79.72497647,5.235,84.0,0.878,0.775,0.598,0.408,0.032,0.088
1005,Morocco,2018,80.72840914,5.254,85.0,0.779,0.797,0.669,0.46,0.026,0.074
1006,Morocco,2019,81.72029128,5.208,89.0,0.801,0.782,0.782,0.418,0.036,0.076
1007,Morocco,2020,82.70346852,5.094799995,97.0,8.9403,0.5926,65.8962,0.7721,-0.2404,0.8157
1008,Mozambique,2015,34.3879562,4.971,94.0,6.8305,0.8176,42.018,0.6392,-0.0134,0.7188
1010,Mozambique,2017,36.43150512,4.55,113.0,0.234,0.871,0.107,0.481,0.322,0.179
1011,Mozambique,2018,37.50859508,4.417,123.0,0.198,0.902,0.173,0.531,0.206,0.158
1012,Mozambique,2019,38.61497368,4.466,123.0,0.204,0.986,0.39,0.494,0.197,0.138
1013,Mozambique,2020,39.74596887,4.623600006,120.0,7.0693,0.7239,54.2058,0.8645,0.0324,0.683
1014,Myanmar,2015,80.66503951,4.307,129.0,7.4069,0.6846,56.1521,0.7339,0.7146,0.6645
1015,Myanmar,2016,81.2231258,4.395,119.0,0.3411,0.6998,0.3988,0.4269,0.8197,0.2024
1016,Myanmar,2017,81.77594785,4.545,114.0,0.367,1.123,0.398,0.514,0.838,0.189
1017,Myanmar,2018,82.27503179,4.308,130.0,0.682,1.174,0.429,0.58,0.598,0.178
1018,Myanmar,2019,82.79143676,4.36,131.0,0.71,1.181,0.555,0.525,0.566,0.172
1019,Myanmar,2020,83.3496132,4.308000088,133.0,8.6805,0.7844,58.9617,0.8951,0.5607,0.6451
1021,Namibia,2016,2.864171799,4.574,113.0,0.9329,0.7036,0.3475,0.4861,0.0779,0.104
1022,Namibia,2017,2.918319183,4.574,111.0,0.964,1.098,0.339,0.52,0.077,0.093
1023,Namibia,2018,2.97380024,4.441,119.0,0.874,1.281,0.365,0.519,0.051,0.064
1024,Namibia,2019,3.029945706,4.639,113.0,0.879,1.313,0.477,0.401,0.07,0.056
1025,Namibia,2020,3.08629523,4.571100235,122.0,9.2031,0.8469,56.5015,0.7675,-0.1853,0.8514
1032,Nepal,2015,188.455061,4.514,121.0,7.6794,0.7498,59.2698,0.6795,0.1139,0.8722
1033,Nepal,2016,190.1878619,4.793,107.0,0.4463,0.697,0.5007,0.3701,0.3816,0.0701
1034,Nepal,2017,192.7637391,4.962,99.0,0.48,1.179,0.504,0.44,0.394,0.073
1035,Nepal,2018,195.9938054,4.88,101.0,0.425,1.228,0.539,0.526,0.302,0.078
1036,Nepal,2019,199.5724799,4.913,100.0,0.446,1.226,0.677,0.439,0.285,0.089
1037,Nepal,2020,203.2564213,5.137199879,92.0,7.9254,0.7855,63.7792,0.7976,0.1542,0.7381
