Sum of wat_sm_number_without,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,(blank),Grand Total
Central and Southern Asia,815508374.1,818646134.4,820922001.4,822708685.7,823891387.7,824978761.2,825300723.6,824934907.9,823975586.6,822343566.6,820176389.3,817579539.3,812898060.7,807856121,802295932.7,796255080.7,789750310.9,782881655.6,775928422.1,767347028,758434406.7,,16954613076
Chad,7884175.521,8188388.054,8510448.417,8845374.458,9186254.506,9528253.278,9869120.845,10210549.41,10556574.14,10913187.85,11284312.18,11671266.85,12072166.89,12484180.1,12903045.03,13325717.94,13751211.53,14180555.23,14615046.56,15056852.93,15507410.77,,240544092.5
Channel Islands,,,,,,,,,,12694.50647,12817.36968,12919.44794,13004.59234,13083.87987,13169.58632,13272.30622,13395.49027,13535.44653,,,,,117892.6256
Chile,1213115.863,1149137.161,1086830.331,1034003.077,979383.332,923264.4246,865538.4918,806246.2783,745173.8473,682277.9889,617497.6128,550656.4282,481919.7513,411507.3648,339593.6352,290659.1028,258999.6401,227141.982,230113.3867,232851.8735,234868.4858,,13360780.06
Colombia,12360354.25,12413956.83,12462716.54,12505466.46,12540923.02,12568172.81,12587973.32,12655896.51,12718649.14,12775485.38,12826778.43,12869842.6,12906242.49,12945795.95,13001142.17,13079668.36,13186709.37,13328591.88,13463531.67,13615882.85,13733617.54,,270547397.6
Congo,2269809.723,2330325.579,2390693.75,2453646.16,2472198.173,2492641.241,2515363.168,2538833.211,2559813.251,2574372.227,2579993.749,2575952.953,2596584.309,2634359.282,2671718.321,2710472.263,2751022.53,2792752.206,2856308.666,2920727.581,2985458.918,,54673047.26
Costa Rica,939539.3363,941665.2175,942804.0728,943289.9148,943564.6072,943956.8935,944547.6536,945299.6678,946226.17,947318.4838,948553.4067,949962.6687,951600.9462,953450.9565,955491.3321,957694.8206,960039.19,963717.0273,973611.9904,983230.4471,992534.7398,,20028099.54
Cote d'Ivoire,10825494.66,11080188.85,11321349.93,11555248.65,11790511.75,12034123.25,12288040.75,12551946.38,12827152.2,13114623.13,13414799.46,13728753.43,14057129.73,14399216.06,14753720.58,15118780.36,15494359.37,15880324.24,16275828.93,16679957.85,17091860.65,,286283410.2
Croatia,804303.3769,798307.773,794235.9598,791133.0175,788381.3038,785494.1838,782348.2486,779017.2304,,,,,,,,,,,,,,,6323221.094
Cyprus,41103.08227,41843.85927,42570.9346,43368.35318,41128.93023,38805.77623,36402.45112,33905.4814,31292.05269,28539.00417,25643.22347,22615.94634,19482.65418,16270.18914,13002.06946,9687.330603,6324.907047,2909.91722,2792.578679,2814.341826,2835.207353,,503338.2905
