Sum of wat_sm_number_without,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,(blank),Grand Total
North Korea,7108136.173,7166979.784,7226541.127,7285000.777,7348530.136,7451310.662,7548134.839,7640093.856,7728794.646,7811969.812,7894416.203,7978481.051,8063551.666,8149414.323,8235292.249,8320689.526,8404505.354,8486992.262,8567797.205,8646566.687,8666606.659,,165729805
North Macedonia,397703.4348,399713.1032,401347.2529,402672.18,403828.8264,404823.942,405678.7993,406355.6972,406894.4714,407331.4325,407701.936,408014.7551,408273.385,408467.0842,408581.742,408605.2151,434063.1376,459496.7584,484566.0742,483729.3107,482648.1617,,8830496.7
Northern Mariana Islands,10325.71391,10378.06483,10291.15879,10107.82301,9660.571743,9223.860602,8799.100595,8379.405641,7977.686818,7605.286599,7264.339402,6959.204589,6683.582677,6425.607764,6165.064161,5893.709399,5704.428646,5517.70727,5325.279581,5355.608776,5452.83102,,159496.0358
Norway,141.733912,142.7272039,143.4482055,3581.695438,7062.609554,10599.87247,14207.84148,17899.13424,21683.74456,25568.36405,29556.08273,33656.33875,37872.4015,42190.02491,46579.54769,51012.47161,55463.77632,59927.18453,64413.86586,68953.13742,73574.86813,,664230.8706
Oman,365181.5762,369631.8114,376165.2982,384539.9748,392326.141,393622.3183,395097.3914,397191.3209,401364.9211,409452.9575,422313.5645,436669.3486,451380.1279,466627.4722,479294.983,487528.4428,491084.0555,491094.9702,488110.397,484177.9877,482210.2899,,9065065.35
Pakistan,89019737.36,91151311.16,93236317.03,95297896.24,97370220.12,99848163.61,102390157.4,104989090.5,107638672.4,110327147.7,113046384.3,115793130.1,118572864.5,121396860.4,124279772.9,127231356.6,130255449.8,133345339.4,136484460.4,139112890.4,141727015.9,,2392514238
Palau,6937.006033,6766.047584,6576.0916,6353.207897,6050.506115,5708.583603,5323.672307,4907.638545,4487.347147,4088.12282,3718.5325,3383.870899,3071.233462,2774.345615,2485.345156,2197.107226,1908.815794,1622.178123,1605.249589,1588.13076,1571.878764,,83124.91154
Palestine,866083.2425,878154.539,885574.5752,890341.5362,895164.8806,901908.2802,911137.6555,922180.8765,934132.4782,945612.967,955717.3234,964274.5967,971742.2766,978624.9327,985620.9019,993197.0772,1001419.494,1010048.253,1018841.609,1027455.746,1035641.427,,19972874.67
Paraguay,2687759.292,2685913.671,2681906.344,2680846.893,2677879.04,2671804.883,2662593.678,2650607.818,2636613.805,2621626.607,2606320.031,2590900.121,2575178.704,2559568.86,2543392.542,2526248.421,2508113.564,2489087.168,2507260.375,2534736.874,2561703.831,,54660062.52
Peru,14553706,14636661.47,14697595.69,14740753.22,14772596.6,14798334.39,14820028.51,14838556.8,14870425.21,14908742.47,14948448.75,14988176.84,15029841.81,15083197.61,15160258.39,15267921.3,15411361,15583933.85,15766419.47,15933979.08,16069116.88,,316880055.3
Philippines,49701172.12,50695065.4,50086155.93,49387410.47,48585257.69,48142749.19,48622392.44,49336407.94,50034810.16,50737196.91,51445271.03,52114215.23,52797941.61,53483489.97,54153199.92,54793661.67,55401208.06,55975770.26,56522671.71,57051467.08,57568678.87,,1096636194
Poland,,,,,,3444740.183,3299076.645,3154011.195,3008687.966,2861998.889,2646097.581,2427108.558,2206066.591,1983056.097,1758816.014,1533579.422,1306886.663,1078723.751,849188.2976,634550.483,633841.88,,32826430.22
Portugal,696909.7317,684981.0108,673075.0487,660952.8583,648531.6559,635766.1653,622663.6674,609215.508,595199.5616,580387.9587,556330.5783,531595.0637,506418.0228,493777.5134,486089.8807,482309.1064,479323.0145,477057.4768,475454.3818,474387.3557,473768.9217,,11844194.48
Puerto Rico,912397.5367,908550.5476,902891.87,896100.4729,889090.7481,882480.6064,876381.5279,870459.8194,864346.8631,761297.5441,657648.6896,554135.953,451038.1555,348034.3478,245354.9166,144305.8715,46712.22296,17522.14811,8164.224393,4008.985637,3909.814882,,11244832.87
Qatar,20143.87732,20910.44202,21789.64832,23180.89453,25613.28699,29423.93909,34771.93529,41426.99536,48846.7815,56268.09498,63115.18529,70432.72315,77284.45778,83621.62842,89475.79217,94880.12998,99741.24968,104008.6496,106182.7373,108106.1991,109976.2144,,1329200.862
Reunion,8184.735575,8317.37561,8446.215643,8569.834402,8686.309506,8794.485499,8689.592683,8572.298814,8444.638741,8309.138397,8167.741453,12126.45174,16147.30698,20229.13933,24371.89152,28575.09015,32839.48916,37165.84552,41554.52982,46126.00856,50854.57042,,403172.6895
Romania,4061769.807,4044062.325,4023489.639,3990910.507,3956725.087,3919334.193,3877977.091,3833631.301,3788605.028,3746116.744,3708369.878,3676349.725,3655798.196,3640793.242,3625377.249,3606071.514,3582014.185,3554260.988,3524099.127,3493811.907,3464931.329,,78774499.06
Russia,37031643.6,36888157.43,36656648.42,36412464.25,36182427.39,35983787.71,35820794.41,35691212.88,35591746.95,35516617.18,35459527.27,35420048.12,35391305.51,35367174.12,35338781.05,35300401.59,35249150.61,35183792.14,35101227.38,34998102.67,34872196.04,,749457206.7
Rwanda,7617132.701,7857987.084,7996449.205,8087355.357,8173129.901,8291574.409,8448843.501,8629469.029,8826647.019,9028169.603,9225569.847,9417962.791,9609770.949,9803886.092,10003746.74,10211843.03,10428800.78,10652433.9,10879299.85,11104803.99,11384622.68,,195679498.5
Saint Barthelemy,71.92088267,74.26781547,76.6341444,78.91319071,81.07586018,75.84685826,70.2102152,63.8667222,57.38028087,50.43855253,43.3974481,36.10473015,28.63223629,20.97108112,13.0957945,5.099346499,0,0,0,0,0,,847.8551591
Saint Helena,,,655.9016698,638.37027,620.8388164,605.5695344,595.0506836,584.0076689,578.1954431,573.8640046,576.8948614,585.4252702,597.9523845,613.8765519,628.2267416,640.0390952,647.0626519,649.7880193,650.4220441,652.7915056,653.8685663,,11748.14578
Saint Martin (French part),954.855,984.951,1020.129,1057.815,1095.171,1130.316,1162.92,1192.554,1217.04,1233.54,1240.206,1235.883,1221.396,1203.114,1188.628865,1183.623311,1190.135575,1206.945751,1229.929253,1254.333751,1276.01938,,24479.50589
Saint Pierre and Miquelon,,,,,,,,1049.419705,1060.555024,1070.17192,1073.208847,1066.797583,1054.649955,1040.646493,1024.618333,1010.952281,1000.997976,992.8995836,986.1508296,982.1016737,977.7150278,,14390.88523
Samoa,96483.72779,97006.83338,97564.23709,98147.8445,98756.30102,99160.51973,99578.99339,100007.3382,100464.6141,100952.7427,101498.8358,102116.6946,102784.6674,103452.7216,104057.0347,104542.3832,104886.8633,105141.4673,105454.3445,105976.6676,106687.929,,2134722.761
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sao Tome and Principe,105925.062,107049.5025,108239.064,109578.8091,111151.7944,112973.9116,115082.1582,117432.434,119868.2346,122196.5576,124286.5359,126084.3218,127642.7517,129032.807,130363.3654,131696.4418,133037.0658,134392.6284,136158.7312,137999.8778,139892.7348,,2580084.79
Serbia,2431005.29,2407631.149,2387522.711,2370050.342,2353777.149,2337767.615,2322031.745,2307128.656,2293197.636,2280395.592,2268813.498,2258403.002,2250066.629,2242725.396,2235537.072,2228146.206,2220425.257,2212096.696,2202909.897,2192597.031,2180985.937,,47983214.5
Sierra Leone,4363081.398,4517211.797,4707581.472,4918884.197,5126386.7,5311906.421,5469305.803,5603539.359,5721081.498,5832858.299,5946851.843,6063868.507,6181126.871,6298871.035,6416824.757,6534766.864,6653208.818,6772509.029,6892173.15,7011453.709,7129782.552,,123473274.1
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Slovakia,422237.0884,422388.3363,388089.3215,353707.5647,319263.7808,284774.7292,250242.7531,215672.0516,181068.2065,146431.5953,111701.9572,76858.62513,63630.11342,60912.52631,58190.56703,55458.64433,52715.53425,49961.3805,47194.31971,44412.87174,41616.90181,,3646528.869
Slovenia,394244.34,394194.1736,394156.089,370174.2956,346488.2621,323130.5723,300061.4742,277122.0954,254100.7207,230796.0783,207106.0279,183043.3181,158680.541,134077.5315,109297.1919,84384.18116,59361.0232,35831.91469,35856.78031,35870.89835,35875.69283,,4363853.202
South Korea,,,1438685.553,1446519.016,1453488.651,1459712.125,1465088.631,1379426.079,1292932.579,1206232.789,1119587.94,1033002.594,946082.8863,858240.2152,768905.5214,700552.481,641854.5042,582206.4277,521877.261,461146.0033,414860.1541,,19190401.41
Spain,258300.271,261138.2791,250598.4293,239788.7205,228604.0496,216839.8836,204482.6976,191501.7666,177701.8754,172034.5362,172021.0148,171288.3768,176431.773,188487.2713,200452.9079,198792.1178,197411.4758,196240.3745,195193.9445,194124.3943,192941.3568,,4284375.516
Sub-Saharan Africa,525395647.8,536976501,548040499,559267290,570382450.1,581690742.9,592901408.9,604336575.3,615583029,626861962.2,638120450.8,658807464.3,670070276.9,681176311.5,692077962.4,702762035.8,713160395,723439243.4,736540657.5,750447080.2,765780662.4,,13493818646
Suriname,228029.204,229633.5797,231224.7784,232821.0175,234409.0971,236181.8481,237970.7001,239762.6612,241553.0058,243338.8984,245109.9126,246871.7359,248615.2643,250321.5117,251947.082,253464.1013,254881.6861,256192.9837,257396.8784,258507.4042,259524.3219,,5137757.672
Sweden,55775.94189,53711.64349,51665.76242,49658.90794,47691.29724,45758.10409,43813.68812,41861.80678,39926.84913,37991.03139,36345.39889,34640.71396,32897.86379,31167.63168,29449.56421,27743.1611,26047.9705,24364.09126,24815.95255,24943.17768,25066.28093,,785336.839
Switzerland,410898.6288,412935.2244,415305.1072,418065.3537,421249.7634,424878.711,428970.407,433515.915,438453.5516,443692.087,449143.1127,454797.9833,460608.3897,466410.2864,471996.6513,477217.9766,481999.813,486364.6519,490380.4422,494162.1143,497800.3217,,9478846.492
Tajikistan,3979043.602,3979268.588,3979625.918,3979942.409,3979854.272,3978954.766,3977130.453,3974322.327,3970392.205,3965183.475,3958432.001,3962303.219,3987184.978,4012999.883,4039803.616,4067458.906,4095891.817,4124360.088,4151253.868,4174577.869,4269347.597,,84607331.86
Togo,4433888.792,4537053.431,4635395.649,4731432.058,4829049.541,4930965.268,5037587.682,5147792.05,5260854.708,5375656.408,5491209.138,5607099.252,5723456.657,5839909.777,5955739.64,6070445.76,6183622.725,6295266.064,6405550.748,6514791.114,6659335.07,,115666101.5
Tonga,69324.03754,69684.35363,70059.71071,70453.81935,70886.73724,71354.44032,71900.69062,72482.93958,73022.03709,73353.02074,73380.88618,73050.99581,72457.34229,71773.47904,71247.24405,71074.83202,71329.85593,71934.72277,72773.72195,73679.82256,74511.94323,,1509736.633
Tunisia,2593415.764,2581124.888,2566503.111,2550878.052,2536283.55,2525197.793,2516306.056,2509358.766,2503557.45,2497757.884,2491207.702,2483605.219,2475332.052,2466978.073,2459247.52,2452459.039,2446748.045,2446100.471,2447757.765,2448635.562,2448090.274,,52446545.04
Turkmenistan,1505334.25,1466957.364,1426297.095,1383983.419,1340621.332,1275530.99,1208921.905,1140666.729,1070802.161,999214.3623,925690.0885,849962.6272,771544.8719,689790.2191,604392.2897,514917.5715,436852.3223,363833.7978,304801.0869,308271.5321,311557.0521,,18899943.07
Uganda,23098832.21,23696904.1,24320335.31,24963660.77,25618491.22,26279293.48,26945792.92,27621198.09,28306576.32,29003948.34,29715199.05,30433265.09,31158206.78,31907169.12,32701870.24,33553468.54,34470100.83,35434134.23,36400912.44,37311364.34,38126081.33,,631066804.7
Ukraine,16355181.61,16193147.48,16010698.31,15818965.72,14459304.37,13129739.95,11841707.41,10586711.77,9359349.98,8154797.916,6977180.833,5810689.142,4870339.478,4990019.58,5108329.196,5056958.352,5004031.708,4949571.824,4893934.901,4858277.385,4801758.702,,189230695.6
United Kingdom,-1.944469048,0.975550577,-0.949220682,0,-1.97580113,0,1.952365262,3283.825338,13047.08982,23024.96184,33190.41501,43506.53236,53945.61632,64502.82199,75179.06248,85988.2809,96937.29543,108009.9594,119189.9299,119882.4983,120513.2233,,960199.5709
United States,,,,,,14054042.21,14155975.7,14261515.69,14367991.08,14471426.88,14005072.3,13525401.17,13034705.2,12533984.81,12024999.11,11509044.44,10986937.53,10459108.74,9926756.541,9390711.186,8851945.318,,197559617.9
United States Virgin Islands,2627.902726,2594.946164,2559.844224,2523.213724,2485.506555,2446.927394,2407.717484,2368.417009,2328.95056,2290.301432,2251.99904,2214.68629,2177.999448,2173.464332,2169.403976,2166.169048,2163.677371,2161.943612,2160.436771,2158.517355,2155.297383,,48587.3219
Upper-middle income,780971981.1,782394086.5,776276349.9,770135437.4,764017069.9,757887970,751840423.5,745925936.1,740259292.1,734976571.8,731386918.7,728433357.9,726003126.7,720260067.2,714595371.6,708858044.6,703131544.5,697195351.7,691409152.5,685852443.9,680494622.9,,15392305120
Uzbekistan,10814317.12,10926444.29,11030182.39,11130648.71,11234457.89,11346321.66,11467862.75,11598321.93,11736387.1,11806928.91,11878832.87,11997893.9,12167020.56,12339720.23,12524748.48,12724779.96,12928388.26,13134250.01,13359363.68,13575464.63,13779247.69,,253501583
Wallis and Futuna Islands,5997.362455,6053.67592,6120.500844,6167.375373,6170.155892,6107.918816,5976.06317,5783.077217,5559.992099,5355.932344,5200.85538,5112.065098,5076.120871,5072.163515,5068.610768,5039.978866,4975.126021,4893.746439,4797.04907,4710.134817,4634.25524,,113872.1602
Western Asia and Northern Africa,114195074,115546599.7,116631423.5,116722094,116735736.9,115689324.8,114293083.7,112765334.9,111195190.1,109687318.7,108278238,108540515.4,108917917.6,109306246,109583841.6,109674942.2,109651582.9,110235012.8,110736856.5,111392513.1,112084535.4,,2351863382
World,2348364799,2361902994,2357925373,2369292466,2380273626,2391664244,2402134035,2412672619,2423290669,2401330486,2378727385,2351577149,2317124121,2279156892,2239889088,2199225922,2157587215,2114935940,2071850673,2031634805,2005910836,,47996471337
Zimbabwe,7976265.972,7981340.949,7980624.307,8007915.108,8046328.725,8114145.994,8197126.295,8295111.115,8409395.299,8540477.449,8688303.19,8854685.162,9038774.075,9233885.644,9428911.387,9617038.128,9795465.211,9965948.913,10132015.43,10299638.23,10473029.11,,187076425.7
(blank),,,,,,,,,,,,,,,,,,,,,,,
Grand Total,8795847131,8883524216,8936933952,9007226083,9070908667,9131499994,9192888301,9253119297,9310648811,9335957462,9359713861,9424867213,9437459295,9442716091,9448387767,9451643579,9453343015,9453905259,9458086042,9462416704,9487060897,,1.94798E+11

