T18,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
24,Angola,2000,Consumer price index: General,2.9091,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2005,Consumer price index: General,53.6948,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2010,Consumer price index: General,100.0000,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2015,Consumer price index: General,161.0523,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2017,Consumer price index: General,280.7633,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2018,Consumer price index: General,337.4504,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2005,Consumer price index: Food,45.4599,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2010,Consumer price index: Food,100.0000,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2015,Consumer price index: Food,167.2521,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
24,Angola,2017,Consumer price index: Food,286.6098,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2000,Consumer price index: General,69.0835,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2005,Consumer price index: General,81.9035,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2010,Consumer price index: General,0.0000,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2015,Consumer price index: General,105.0533,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2017,Consumer price index: General,105.8576,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2015,Consumer price index: Food,111.3574,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2017,Consumer price index: Food,112.3082,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2018,Consumer price index: Food,113.4148,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
660,Anguilla,2019,Consumer price index: Food,116.0242,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
28,Antigua and Barbuda,2000,Consumer price index: General,81.0826,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
28,Antigua and Barbuda,2005,Consumer price index: General,89.4605,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
28,Antigua and Barbuda,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
28,Antigua and Barbuda,2015,Consumer price index: General,110.3197,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
28,Antigua and Barbuda,2017,Consumer price index: General,112.4502,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
28,Antigua and Barbuda,2018,Consumer price index: General,113.8076,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
32,Argentina,2017,Consumer price index: General,112.8871,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
32,Argentina,2018,Consumer price index: General,151.5903,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
32,Argentina,2019,Consumer price index: General,232.7551,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
32,Argentina,2017,Consumer price index: Food,111.6830,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
32,Argentina,2018,Consumer price index: Food,148.2494,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
32,Argentina,2019,Consumer price index: Food,234.7591,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2000,Consumer price index: General,65.0006,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2005,Consumer price index: General,76.3796,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2010,Consumer price index: General,100.0000,Estimate.;Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2015,Consumer price index: General,124.7662,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2017,Consumer price index: General,124.2076,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2018,Consumer price index: General,127.3380,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2019,Consumer price index: General,129.1760,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
51,Armenia,2010,Consumer price index: Food,100.0000,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020."
